,VR_P_best,M0_best,TR_best,rake_best,max_cc
fb03-087__0004,0.89,0.57,3.3,0,0.9143661762998795
fb03-087__0009,0.73,0.05,3.1,0,0.5358342810541411
fb03-087__0018,0.87,0.61,3.5,0,0.7378640791704101
fb03-087__0019,0.79,0.05,3.1,0,0.6127491080399662
fb03-087__0020,0.89,0.77,3.3,0,0.769819567798291
fb03-087__0021,0.88,0.02,3.0,0,0.7540117824097742
fb03-087__0024,0.84,0.06,3.1,0,0.586284445163952
fb03-087__0027,0.91,0.77,3.3,0,0.9177168917566952
fb03-087__0030,0.59,0.06,3.3,0,0.3678029805903957
fb03-087__0031,0.9,0.9,3.2,0,0.780068363063373
fb03-087__0037,0.41,0.03,3.8,0,0.19185462053376418
fb03-087__0038,0.87,0.29,2.8,0,0.7082801238556619
fb03-087__0040,0.9,0.25,2.8,0,0.4770804314308933
fb03-087__0043,0.82,0.2,3.2,0,0.748556249277861
fb03-087__0044,0.85,0.07,3.2,0,0.5870709228541058
fb03-087__0049,0.31,0.04,2.9,0,0.41553969565546034
fb03-087__0050,0.89,0.33,3.5,0,0.3626195875681199
fb03-087__0052,0.88,0.45,3.4,0,0.8934683824898374
fb03-087__0055,0.91,0.36,3.3,0,0.26675045661329194
fb03-087__0059,0.77,0.08,3.6,0,0.5000028394703133
fb03-087__0061,0.91,0.71,3.3,0,0.9353263461572596
fb03-087__0062,0.89,0.57,3.3,0,0.9181201603854582
fb03-087__0069,0.91,0.33,2.9,0,0.46572180644413674
fb03-087__0072,0.92,0.77,3.3,0,0.9416575746409263
fb03-087__0075,0.77,0.29,3.0,0,0.3752674279568632
fb03-087__0076,0.58,0.36,2.8,0,0.45665570697763624
fb03-087__0077,0.82,0.57,3.0,0,0.8903589090800488
fb03-087__0081,0.59,0.05,3.1,0,0.315648180200267
fb03-087__0085,0.9,0.53,2.9,0,0.5242386529009571
fb03-087__0088,0.83,0.97,3.1,0,0.7505586109308741
fb03-087__0089,0.9,0.53,3.3,0,0.8768397660051835
fb03-087__0095,0.88,0.77,3.4,0,0.9311273995012004
fb03-087__0099,0.8,0.61,3.6,0,0.9146802223217847
fb03-087__0100,0.77,0.45,3.1,0,0.9342547548573777
fb03-087__0102,0.69,0.1,3.3,0,0.368120167875805
fb03-087__0109,0.7,0.42,3.0,0,0.9510934236812142
fb03-087__0110,0.32,0.06,3.7,0,0.14222268051914222
fb03-087__0111,0.69,0.45,3.0,0,0.942721073155991
fb03-087__0118,0.84,0.1,2.8,0,0.43259689274494273
fb03-087__0120,0.81,0.57,3.4,0,0.958918421096833
fb03-087__0126,0.88,0.02,2.8,0,0.4463275125969721
fb03-087__0128,0.84,0.01,3.1,0,0.6604878535289048
fb03-087__0129,0.88,0.97,3.3,0,0.9635008387765344
fb03-087__0131,0.85,0.66,2.7,0,0.2812748664898215
