,VR_P_best,M0_best,TR_best,rake_best,max_cc
fb03-087__0004,0.89,0.57,3.3,0,0.9131887108460386
fb03-087__0009,0.73,0.05,3.1,0,0.6009692260031262
fb03-087__0018,0.87,0.61,3.5,0,0.8293779119539205
fb03-087__0019,0.79,0.05,3.1,0,0.6893684864591837
fb03-087__0020,0.89,0.77,3.3,0,0.7161407304581637
fb03-087__0021,0.88,0.02,3.0,0,0.7305962250242036
fb03-087__0024,0.84,0.06,3.1,0,0.6228106457790711
fb03-087__0027,0.91,0.77,3.3,0,0.9092222643474255
fb03-087__0030,0.59,0.06,3.3,0,0.5792786657893163
fb03-087__0031,0.9,0.9,3.2,0,0.5496580722518033
fb03-087__0037,0.41,0.03,3.8,0,0.3780385136068634
fb03-087__0038,0.87,0.29,2.8,0,0.7037953445696508
fb03-087__0040,0.9,0.25,2.8,0,0.49580965910110486
fb03-087__0043,0.82,0.2,3.2,0,0.7502604635832901
fb03-087__0044,0.85,0.07,3.2,0,0.6176627773823985
fb03-087__0049,0.31,0.04,2.9,0,0.23340180907945268
fb03-087__0050,0.89,0.33,3.5,0,0.3571242889107074
fb03-087__0052,0.88,0.45,3.4,0,0.9019467714537635
fb03-087__0055,0.91,0.36,3.3,0,0.40623101147404894
fb03-087__0059,0.77,0.08,3.6,0,0.27479305179694985
fb03-087__0061,0.91,0.71,3.3,0,0.9373803758572514
fb03-087__0062,0.89,0.57,3.3,0,0.9237290599596281
fb03-087__0069,0.91,0.33,2.9,0,0.48015710028205266
fb03-087__0072,0.92,0.77,3.3,0,0.934595579679641
fb03-087__0075,0.77,0.29,3.0,0,0.32125445639861594
fb03-087__0076,0.58,0.36,2.8,0,0.5289093508855468
fb03-087__0077,0.82,0.57,3.0,0,0.9240433658328825
fb03-087__0081,0.59,0.05,3.1,0,0.23083642794088377
fb03-087__0085,0.9,0.53,2.9,0,0.5514252856241731
fb03-087__0088,0.83,0.97,3.1,0,0.6673378678939725
fb03-087__0089,0.9,0.53,3.3,0,0.901844365920624
fb03-087__0095,0.88,0.77,3.4,0,0.9109711725905901
fb03-087__0099,0.8,0.61,3.6,0,0.931356910950803
fb03-087__0100,0.77,0.45,3.1,0,0.9029878932759158
fb03-087__0102,0.69,0.1,3.3,0,0.38257657588365923
fb03-087__0109,0.7,0.42,3.0,0,0.8948972343941228
fb03-087__0110,0.32,0.06,3.7,0,0.3462829428656277
fb03-087__0111,0.69,0.45,3.0,0,0.8693352412153464
fb03-087__0118,0.84,0.1,2.8,0,0.4507701235869585
fb03-087__0120,0.81,0.57,3.4,0,0.9147045450666165
fb03-087__0126,0.88,0.02,2.8,0,0.4308458198094037
fb03-087__0128,0.84,0.01,3.1,0,0.6643173019232983
fb03-087__0129,0.88,0.97,3.3,0,0.9469960288573462
fb03-087__0131,0.85,0.66,2.7,0,0.34030764147372294
