gougeevent_id,stickslip_id,exprID,origin_time,X,Y,V,Vs,dx_best,dy_best
4,3,fb03-087, 42.47477226,  1.74750000,  0.00505000,6200,3600,  0.00000000, -0.00020000
9,5,fb03-087, 47.66269341,  1.74250000,  0.00375000,6200,3600,  0.00000000,  0.00000000
18,8,fb03-087, 56.72704421,  1.74600000,  0.00375000,6200,3600,  0.00000000,  0.00000000
19,9,fb03-087, 59.10317481,  1.74250000,  0.00300000,6200,3600,  0.00000000,  0.00000000
20,9,fb03-087, 59.10352595,  1.74600000,  0.00325000,6200,3600,  0.00000000,  0.00100000
21,10,fb03-087, 63.75229995,  1.74700000,  0.00425000,6200,3600,  0.00000000,  0.00000000
24,11,fb03-087, 66.18694386,  1.74200000,  0.00425000,6200,3600,  0.00000000,  0.00000000
27,14,fb03-087, 76.01847775,  1.74600000,  0.00245000,6200,3600,  0.00000000,  0.00020000
30,15,fb03-087, 79.31984989,  1.75050000,  0.01000000,6200,3600,  0.00000000,  0.00000000
31,15,fb03-087, 79.32009303,  1.74450000,  0.00695000,6200,3600,  0.00000000, -0.00080000
37,17,fb03-087, 85.98748076,  1.75450000,  0.00275000,6200,3600,  0.00000000,  0.00000000
38,17,fb03-087, 85.98854365,  1.74400000,  0.00050000,6200,3600,  0.00000000, -0.00200000
40,18,fb03-087, 91.30083890,  1.74500000, -0.00190000,6200,3600,  0.00000000,  0.00060000
43,18,fb03-087, 91.31113376,  1.74900000,  0.00425000,6200,3600, -0.00050000,  0.00000000
44,19,fb03-087, 94.40733748,  1.74200000, -0.00125000,6200,3600,  0.00000000,  0.00000000
49,21,fb03-087,100.59554237,  1.74200000,  0.00325000,6200,3600,  0.00000000,  0.00000000
50,21,fb03-087,100.59585890,  1.74750000,  0.00225000,6200,3600,  0.00000000,  0.00000000
52,21,fb03-087,100.60336415,  1.74450000,  0.00535000,6200,3600,  0.00000000, -0.00040000
55,23,fb03-087,108.95682766,  1.75200000,  0.00175000,6200,3600,  0.00000000,  0.00000000
59,25,fb03-087,116.23727944,  1.74200000,  0.00375000,6200,3600,  0.00000000,  0.00000000
61,25,fb03-087,116.24031616,  1.74650000,  0.00350000,6200,3600,  0.00000000,  0.00100000
62,26,fb03-087,120.77836350,  1.74650000,  0.00525000,6200,3600,  0.00000000,  0.00000000
69,27,fb03-087,123.92171733,  1.74450000,  0.00030000,6200,3600,  0.00000000,  0.00080000
72,29,fb03-087,130.73454890,  1.74650000,  0.00500000,6200,3600,  0.00000000,  0.00000000
75,31,fb03-087,138.54831321,  1.74600000, -0.00075000,6200,3600,  0.00000000,  0.00000000
76,31,fb03-087,138.54952552,  1.74500000,  0.00125000,6200,3600,  0.00000000,  0.00000000
77,31,fb03-087,138.55082272,  1.74700000,  0.00450000,6200,3600,  0.00000000,  0.00000000
81,33,fb03-087,146.53695619,  1.74050000,  0.00225000,6200,3600,  0.00000000,  0.00000000
85,34,fb03-087,151.69923300,  1.74300000, -0.00275000,6200,3600,  0.00000000,  0.00000000
88,35,fb03-087,161.09723646,  1.74700000,  0.00525000,6200,3600,  0.00000000,  0.00000000
89,35,fb03-087,161.12012935,  1.74600000,  0.00225000,6200,3600,  0.00000000,  0.00000000
95,37,fb03-087,167.28680558,  1.74600000,  0.00525000,6200,3600,  0.00000000,  0.00000000
99,39,fb03-087,175.38555241,  1.74600000,  0.00375000,6200,3600,  0.00000000,  0.00000000
100,39,fb03-087,175.39123172,  1.74550000,  0.00350000,6200,3600,  0.00000000,  0.00000000
102,40,fb03-087,178.95463471,  1.74650000,  0.00300000,6200,3600,  0.00000000,  0.00000000
109,42,fb03-087,190.16055048,  1.74650000,  0.00635000,6200,3600,  0.00000000, -0.00040000
110,43,fb03-087,193.77200751,  1.75500000,  0.00100000,6200,3600,  0.00000000,  0.00000000
111,43,fb03-087,193.78424901,  1.74550000,  0.00500000,6200,3600,  0.00000000,  0.00000000
118,46,fb03-087,211.10241937,  1.74300000, -0.00150000,6200,3600,  0.00000000,  0.00000000
120,49,fb03-087,225.89071842,  1.74700000,  0.00400000,6200,3600,  0.00000000,  0.00000000
126,52,fb03-087,235.63152471,  1.74400000, -0.00050000,6200,3600,  0.00000000,  0.00000000
128,53,fb03-087,241.51293952,  1.74800000,  0.00625000,6200,3600,  0.00000000,  0.00000000
129,54,fb03-087,245.07106458,  1.74350000,  0.00125000,6200,3600,  0.00000000,  0.00000000
131,55,fb03-087,248.90204364,  1.74300000,  0.00000000,6200,3600,  0.00000000,  0.00000000
