,VR_P_best,M0_best,TR_best,rake_best,max_cc
fb03-087__0004,0.89,0.57,3.3,0,0.90182166704724
fb03-087__0009,0.73,0.05,3.1,0,0.6044393911530086
fb03-087__0018,0.87,0.61,3.5,0,0.7651160437081
fb03-087__0019,0.79,0.05,3.1,0,0.656139353571623
fb03-087__0020,0.89,0.77,3.3,0,0.7552706333618456
fb03-087__0021,0.88,0.02,3.0,0,0.6897717241668886
fb03-087__0024,0.84,0.06,3.1,0,0.6073157466582
fb03-087__0027,0.91,0.77,3.3,0,0.8985011826631477
fb03-087__0030,0.59,0.06,3.3,0,0.465577685499505
fb03-087__0031,0.9,0.9,3.2,0,0.667308740461303
fb03-087__0037,0.41,0.03,3.8,0,0.24793224602125927
fb03-087__0038,0.87,0.29,2.8,0,0.6711310779402576
fb03-087__0040,0.9,0.25,2.8,0,0.38661312762446237
fb03-087__0043,0.82,0.2,3.2,0,0.7693729754147121
fb03-087__0044,0.85,0.07,3.2,0,0.6424131197139655
fb03-087__0049,0.31,0.04,2.9,0,0.6271806061943983
fb03-087__0050,0.89,0.33,3.5,0,0.26951713910247566
fb03-087__0052,0.88,0.45,3.4,0,0.8692132520465069
fb03-087__0055,0.91,0.36,3.3,0,0.23791580548081934
fb03-087__0059,0.77,0.08,3.6,0,0.5123317168062459
fb03-087__0061,0.91,0.71,3.3,0,0.9176135054729605
fb03-087__0062,0.89,0.57,3.3,0,0.9065763630895951
fb03-087__0069,0.91,0.33,2.9,0,0.37942906269410553
fb03-087__0072,0.92,0.77,3.3,0,0.9272543642127209
fb03-087__0075,0.77,0.29,3.0,0,0.33997060518630623
fb03-087__0076,0.58,0.36,2.8,0,0.5960312897834878
fb03-087__0077,0.82,0.57,3.0,0,0.9239333419775483
fb03-087__0081,0.59,0.05,3.1,0,0.47119070322971673
fb03-087__0085,0.9,0.53,2.9,0,0.4646050193680673
fb03-087__0088,0.83,0.97,3.1,0,0.6405888000347723
fb03-087__0089,0.9,0.53,3.3,0,0.8794337531065497
fb03-087__0095,0.88,0.77,3.4,0,0.9284667859470777
fb03-087__0099,0.8,0.61,3.6,0,0.8970688828512056
fb03-087__0100,0.77,0.45,3.1,0,0.8456793265721164
fb03-087__0102,0.69,0.1,3.3,0,0.27654821834930665
fb03-087__0109,0.7,0.42,3.0,0,0.8821416977884304
fb03-087__0110,0.32,0.06,3.7,0,0.5556796559632077
fb03-087__0111,0.69,0.45,3.0,0,0.8484832994612684
fb03-087__0118,0.84,0.1,2.8,0,0.3379222217734249
fb03-087__0120,0.81,0.57,3.4,0,0.9238727388419536
fb03-087__0126,0.88,0.02,2.8,0,0.413170588519261
fb03-087__0128,0.84,0.01,3.1,0,0.6303056379356112
fb03-087__0129,0.88,0.97,3.3,0,0.9315303224000944
fb03-087__0131,0.85,0.66,2.7,0,0.5148431232281528
