,t,loc_slip,loc_traction
106,1.036466e-06,9.340187e-08,1800000.0
107,1.046244e-06,9.894319e-08,1800000.0
108,1.056022e-06,1.04357056e-07,1800000.0
109,1.0658e-06,1.09666914e-07,1800000.0
110,1.075578e-06,1.1488544e-07,1800000.0
111,1.085356e-06,1.2001034e-07,1800000.0
112,1.095134e-06,1.2504249e-07,1800000.0
113,1.104912e-06,1.2999558e-07,1800000.0
114,1.11469e-06,1.348696e-07,1800000.0
115,1.124468e-06,1.3965885e-07,1800000.0
116,1.134246e-06,1.4437217e-07,1800000.0
117,1.144023e-06,1.4902041e-07,1800000.0
118,1.153801e-06,1.5359703e-07,1800000.0
119,1.163579e-06,1.5810001e-07,1800000.0
120,1.173357e-06,1.6254702e-07,1800000.0
121,1.183135e-06,1.6693593e-07,1800000.0
122,1.192913e-06,1.7126109e-07,1800000.0
123,1.202691e-06,1.7553235e-07,1800000.0
124,1.212469e-06,1.7975742e-07,1800000.0
125,1.222247e-06,1.8392949e-07,1800000.0
126,1.232025e-06,1.8804995e-07,1800000.0
127,1.241803e-06,1.9213039e-07,1800000.0
128,1.251581e-06,1.9616776e-07,1800000.0
129,1.261359e-06,2.0016097e-07,1800000.0
130,1.271137e-06,2.041151e-07,1800000.0
131,1.280915e-06,2.0803488e-07,1800000.0
132,1.290693e-06,2.119174e-07,1800000.0
133,1.300471e-06,2.157664e-07,1800000.0
134,1.310249e-06,2.1958189e-07,1800000.0
135,1.320027e-06,2.2336653e-07,1800000.0
136,1.329805e-06,2.271243e-07,1800000.0
137,1.339583e-06,2.3085205e-07,1800000.0
138,1.349361e-06,2.3454979e-07,1800000.0
139,1.359139e-06,2.3822396e-07,1800000.0
140,1.368917e-06,2.4187528e-07,1800000.0
141,1.378695e-06,2.4549877e-07,1800000.0
142,1.388473e-06,2.490975e-07,1800000.0
143,1.398251e-06,2.5267806e-07,1800000.0
144,1.408029e-06,2.5623697e-07,1800000.0
145,1.417807e-06,2.597724e-07,1800000.0
146,1.427585e-06,2.6328806e-07,1800000.0
147,1.437363e-06,2.6678742e-07,1800000.0
148,1.447141e-06,2.7026624e-07,1800000.0
149,1.456919e-06,2.7372718e-07,1800000.0
150,1.466697e-06,2.7716993e-07,1800000.0
151,1.476475e-06,2.8059722e-07,1800000.0
152,1.486253e-06,2.84007e-07,1800000.0
153,1.496031e-06,2.8740283e-07,1800000.0
154,1.505809e-06,2.9078103e-07,1800000.0
155,1.515587e-06,2.941453e-07,1800000.0
156,1.525365e-06,2.9749677e-07,1800000.0
157,1.535143e-06,3.008353e-07,1800000.0
158,1.544921e-06,3.0415885e-07,1800000.0
159,1.554699e-06,3.0747162e-07,1800000.0
160,1.564477e-06,3.1077516e-07,1800000.0
161,1.574255e-06,3.140658e-07,1800000.0
162,1.584033e-06,3.1734254e-07,1800000.0
163,1.59381e-06,3.2060933e-07,1800000.0
164,1.603588e-06,3.2386595e-07,1801101.0
165,1.613366e-06,3.271043e-07,1806093.2
166,1.623144e-06,3.303161e-07,1815026.5
167,1.632922e-06,3.3349477e-07,1827777.6
168,1.6427e-06,3.3663014e-07,1844173.8
169,1.652478e-06,3.3971472e-07,1864015.4
170,1.662256e-06,3.4274092e-07,1887069.8
171,1.672034e-06,3.457036e-07,1913096.6
172,1.681812e-06,3.485955e-07,1941813.8
173,1.69159e-06,3.514196e-07,1973030.0
174,1.701368e-06,3.541705e-07,2006467.1
175,1.711146e-06,3.5684297e-07,2041829.0
176,1.720924e-06,3.5942594e-07,2078718.0
177,1.730702e-06,3.6191295e-07,2116770.0
178,1.74048e-06,3.6429822e-07,2155614.0
179,1.750258e-06,3.6657357e-07,2194824.8
180,1.760036e-06,3.6873703e-07,2234072.2
181,1.769814e-06,3.7078817e-07,2273062.5
182,1.779592e-06,3.7271806e-07,2311338.5
183,1.78937e-06,3.7452756e-07,2348636.5
184,1.799148e-06,3.76216e-07,2384677.2
185,1.808926e-06,3.7778028e-07,2419138.8
186,1.818704e-06,3.7921973e-07,2451766.8
187,1.828482e-06,3.8053773e-07,2482415.0
188,1.83826e-06,3.8173636e-07,2510932.5
189,1.848038e-06,3.8281718e-07,2537175.5
190,1.857816e-06,3.837961e-07,2561380.2
191,1.867594e-06,3.846844e-07,2583701.8
192,1.877372e-06,3.8549555e-07,2604385.2
193,1.88715e-06,3.862374e-07,2623551.2
194,1.896928e-06,3.8692033e-07,2641408.5
195,1.906706e-06,3.8754658e-07,2657962.5
196,1.916484e-06,3.8812598e-07,2673431.2
197,1.926262e-06,3.8866108e-07,2687848.8
198,1.93604e-06,3.891575e-07,2701336.8
199,1.945818e-06,3.8961687e-07,2713915.8
200,1.955596e-06,3.9004513e-07,2725726.2
201,1.965374e-06,3.904432e-07,2736776.8
202,1.975152e-06,3.9081291e-07,2747103.8
203,1.98493e-06,3.911579e-07,2756794.2
204,1.994708e-06,3.9147855e-07,2765849.2
205,2.004486e-06,3.917772e-07,2774324.5
206,2.014264e-06,3.9205378e-07,2782208.2
207,2.024042e-06,3.923156e-07,2789703.0
208,2.03382e-06,3.925686e-07,2796974.5
209,2.043598e-06,3.92824e-07,2804344.5
210,2.053375e-06,3.930861e-07,2811937.2
