,VR_P_best,M0_best,TR_best,rake_best,max_cc
fb03-087__0017,0.83,0.04,2.2,0.0,0.7027645634645956
fb03-087__0023,0.77,0.06,2.3,0.0,0.46774005215717424
fb03-087__0029,0.78,0.18,2.6,0.0,0.8944783453551822
fb03-087__0033,0.86,0.66,2.9,0.0,0.9268876757630655
fb03-087__0036,0.76,0.13,2.8,0.0,0.893756315927896
fb03-087__0042,0.77,0.06,2.2,0.0,0.4042146869127962
fb03-087__0065,0.83,0.25,2.3,0.0,0.8228201702658791
fb03-087__0080,0.89,0.17,2.6,0.0,0.636011423838183
fb03-087__0090,0.85,0.16,2.4,0.0,0.7634679992368021
fb03-087__0093,0.84,0.12,2.3,0.0,0.7256357662499738
fb03-087__0103,0.88,0.11,2.5,0.0,0.7428816310460054
fb03-087__0106,0.84,0.12,2.6,0.0,0.520144373699393
fb03-087__0107,0.84,0.12,2.4,0.0,0.7691128516927267
fb03-087__0108,0.8,0.12,2.5,0.0,0.5354313617745664
fb03-087__0114,0.85,0.14,2.5,0.0,0.6773296540839567
fb03-087__0115,0.82,0.16,2.7,0.0,0.49874930625165936
