,VR_P_best,M0_best,TR_best,rake_best,max_cc
fb03-087__0017,0.83,0.04,2.2,0.0,0.7029008504816912
fb03-087__0023,0.77,0.06,2.3,0.0,0.46787541923876824
fb03-087__0029,0.78,0.18,2.6,0.0,0.8951431431127372
fb03-087__0033,0.86,0.66,2.9,0.0,0.9134293189062661
fb03-087__0036,0.76,0.13,2.8,0.0,0.8515037236715652
fb03-087__0042,0.77,0.06,2.2,0.0,0.472754548676678
fb03-087__0065,0.83,0.25,2.3,0.0,0.8433394378624587
fb03-087__0080,0.89,0.17,2.6,0.0,0.7691769678874377
fb03-087__0090,0.85,0.16,2.4,0.0,0.8051577273950303
fb03-087__0093,0.84,0.12,2.3,0.0,0.762548763310655
fb03-087__0103,0.88,0.11,2.5,0.0,0.7898661479498416
fb03-087__0106,0.84,0.12,2.6,0.0,0.6478461887029502
fb03-087__0107,0.84,0.12,2.4,0.0,0.7830818846446543
fb03-087__0108,0.8,0.12,2.5,0.0,0.6538556737617414
fb03-087__0114,0.85,0.14,2.5,0.0,0.68241870902627
fb03-087__0115,0.82,0.16,2.7,0.0,0.6494304375154428
