,VR_P_best,M0_best,TR_best,rake_best,max_cc
fb03-087__0017,0.83,0.04,2.2,0.0,0.6927438534565852
fb03-087__0023,0.77,0.06,2.3,0.0,0.6771495886118007
fb03-087__0029,0.78,0.18,2.6,0.0,0.8380851408460821
fb03-087__0033,0.86,0.66,2.9,0.0,0.8640161579129957
fb03-087__0036,0.76,0.13,2.8,0.0,0.8532614771237658
fb03-087__0042,0.77,0.06,2.2,0.0,0.6537476058045911
fb03-087__0065,0.83,0.25,2.3,0.0,0.8075203786419617
fb03-087__0080,0.89,0.17,2.6,0.0,0.7448887744683933
fb03-087__0090,0.85,0.16,2.4,0.0,0.7690548112878797
fb03-087__0093,0.84,0.12,2.3,0.0,0.7392198538752187
fb03-087__0103,0.88,0.11,2.5,0.0,0.7728867421613322
fb03-087__0106,0.84,0.12,2.6,0.0,0.5429139147475702
fb03-087__0107,0.84,0.12,2.4,0.0,0.7443874495070414
fb03-087__0108,0.8,0.12,2.5,0.0,0.5491509544794552
fb03-087__0114,0.85,0.14,2.5,0.0,0.5847745440580967
fb03-087__0115,0.82,0.16,2.7,0.0,0.5722546572743991
