datacase,rdist,incidentangle,dip,azimuth,k_M0uz,TR,beta_coef_p,OL
fb03-087__0004,  0.18255616,   75.745726,   67.452846,   15.462263,3.756149e+15,     3.3e-06,  0.61520617,OL08
fb03-087__0009,  0.18733743,   75.706994,   68.058649,   15.435862,3.9322885e+15,     3.1e-06,    0.572624,OL08
fb03-087__0018,  0.18421472,   75.459415,   67.666853,   15.749099,3.784304e+15,     3.5e-06,  0.65300619,OL08
fb03-087__0019,    0.187524,   75.484933,   68.081611,   15.673961,3.912145e+15,     3.1e-06,  0.57333114,OL08
fb03-087__0020,  0.18434089,   75.308986,   67.682962,   15.910783,3.7715405e+15,     3.3e-06,  0.61649348,OL08
fb03-087__0021,  0.18319952,   75.538598,   67.536359,   15.678095,3.7557152e+15,       3e-06,  0.54939171,OL08
fb03-087__0024,   0.1876621,   75.889707,   68.098575,   15.233473,3.9677639e+15,     3.1e-06,  0.57205003,OL08
fb03-087__0027,  0.18454539,   75.068729,   67.709021,   16.168936,3.7517836e+15,     3.3e-06,  0.61721745,OL08
fb03-087__0030,  0.17871835,   77.066744,   66.941066,   14.078497,3.7782805e+15,     3.3e-06,  0.61153946,OL08
fb03-087__0031,  0.18477974,   76.527414,   67.738808,   14.580702,3.9393714e+15,     3.2e-06,  0.59232061,OL08
fb03-087__0037,  0.17695427,   74.513094,   66.697696,   16.901851,3.4213418e+15,     3.8e-06,  0.70204032,OL08
fb03-087__0038,  0.18683214,   74.636392,   67.996213,     16.6042,3.7882539e+15,     2.8e-06,   0.4996177,OL08
fb03-087__0040,  0.18659745,   73.850844,   67.967089,   17.460732,3.6969353e+15,     2.8e-06,  0.50269222,OL08
fb03-087__0043,  0.18142233,   75.393803,   67.304099,   15.863108,3.6734286e+15,     3.2e-06,  0.59570177,OL08
fb03-087__0044,  0.18907819,    74.27313,   68.270986,   16.964826,3.8317251e+15,     3.2e-06,  0.59930088,OL08
fb03-087__0049,  0.18790839,   75.593992,   68.128763,   15.550492,3.9401685e+15,     2.9e-06,  0.52362001,OL08
fb03-087__0050,  0.18326569,    74.89726,   67.544913,   16.375222,3.6858189e+15,     3.5e-06,   0.6545675,OL08
fb03-087__0052,  0.18515905,   76.045928,   67.786845,   15.098281,3.8913675e+15,     3.4e-06,  0.63354252,OL08
fb03-087__0055,  0.17942147,   74.399996,   67.036613,    16.98161,3.4964271e+15,     3.3e-06,  0.61929133,OL08
fb03-087__0059,  0.18778462,   75.741753,   68.113603,   15.392103,3.9537916e+15,     3.6e-06,  0.66890554,OL08
fb03-087__0061,   0.1838328,   75.348017,   67.617945,   15.875947,3.757154e+15,     3.3e-06,  0.61637693,OL08
fb03-087__0062,  0.18339796,   75.876966,    67.56199,   15.306997,3.8035149e+15,     3.3e-06,  0.61482659,OL08
fb03-087__0069,  0.18644125,   74.539623,   67.947662,   16.715124,3.7632971e+15,     2.9e-06,  0.52738734,OL08
fb03-087__0072,  0.18345912,   75.801249,   67.569877,   15.388468,3.7966323e+15,     3.3e-06,  0.61504517,OL08
fb03-087__0075,  0.18539569,   74.113129,   67.816706,   17.194746,3.680285e+15,       3e-06,  0.55436136,OL08
fb03-087__0076,  0.18574596,   74.784203,   67.860755,   16.460015,3.7644256e+15,     2.8e-06,   0.4990558,OL08
fb03-087__0077,  0.18313724,   75.614335,   67.528303,   15.596603,3.7622812e+15,       3e-06,  0.54914025,OL08
fb03-087__0081,  0.18950016,   75.405369,   68.321824,   15.733108,3.9780101e+15,     3.1e-06,  0.57358706,OL08
fb03-087__0085,  0.18860425,   73.758525,   68.213595,   17.529673,3.7602274e+15,     2.9e-06,  0.53034357,OL08
fb03-087__0088,  0.18295235,   75.841851,    67.50435,   15.351739,3.7824983e+15,     3.1e-06,  0.57219968,OL08
fb03-087__0089,  0.18459703,   75.008749,   67.715592,    16.23337,3.746969e+15,     3.3e-06,  0.61739993,OL08
fb03-087__0095,  0.18384385,   75.911928,   67.619363,   15.262509,3.824623e+15,     3.4e-06,   0.6339103,OL08
fb03-087__0099,  0.18421472,   75.459415,   67.666853,   15.749099,3.784304e+15,     3.6e-06,  0.66963795,OL08
fb03-087__0100,  0.18472277,   75.420176,   67.731574,   15.784259,3.7986984e+15,     3.1e-06,  0.57353933,OL08
fb03-087__0102,  0.18395991,   75.197352,   67.634247,    16.03792,3.7446563e+15,     3.3e-06,  0.61682848,OL08
fb03-087__0109,  0.18313266,   76.210717,    67.52771,   14.947774,3.834888e+15,       3e-06,  0.54720478,OL08
fb03-087__0110,  0.17699153,   73.927742,   66.702891,   17.543258,3.3670438e+15,     3.7e-06,  0.68920966,OL08
fb03-087__0111,  0.18435089,   75.871364,   67.684238,   15.299317,3.8388278e+15,       3e-06,  0.54829638,OL08
fb03-087__0118,  0.18825847,   74.123778,   68.171526,   17.138885,3.7855545e+15,     2.8e-06,  0.50160718,OL08
fb03-087__0120,  0.18326211,   75.462914,    67.54445,   15.759522,3.7492331e+15,     3.4e-06,  0.63516712,OL08
fb03-087__0126,  0.18709957,   74.341103,   68.029304,   16.920646,3.7661261e+15,     2.8e-06,  0.50075601,OL08
fb03-087__0128,  0.18181876,   76.076614,   67.356336,   15.112872,3.7684995e+15,     3.1e-06,  0.57147025,OL08
fb03-087__0129,   0.1870797,   74.895275,   68.026849,    16.31965,3.8263027e+15,     3.3e-06,  0.61774707,OL08
fb03-087__0131,  0.18785367,   74.563834,   68.122064,   16.667763,3.8180852e+15,     2.7e-06,  0.47037889,OL08
