datacase,rdist,incidentangle,dip,azimuth,k_M0uz,TR,beta_coef_p,OL
fb03-087__0004,  0.12073422,   68.142134,   54.564514,   152.80979,1.5908208e+15,     3.3e-06,   0.6427685,OL07
fb03-087__0009,  0.11766611,   66.854879,   53.494235,   150.72475,1.508052e+15,     3.1e-06,  0.60868982,OL07
fb03-087__0018,    0.120146,   67.359469,   54.364653,   151.72905,1.5612114e+15,     3.5e-06,  0.68073766,OL07
fb03-087__0019,  0.11796292,   66.519915,    53.60086,   150.32997,1.505933e+15,     3.1e-06,  0.61035971,OL07
fb03-087__0020,  0.12033936,   67.139755,   54.430622,   151.47129,1.5594556e+15,     3.3e-06,  0.64718649,OL07
fb03-087__0021,  0.12067337,   67.720656,   54.543952,   152.26182,1.5791436e+15,       3e-06,  0.58203682,OL07
fb03-087__0024,  0.11711986,   67.006577,   53.296201,   150.84168,1.5023318e+15,     3.1e-06,  0.60794056,OL07
fb03-087__0027,   0.1206524,   66.789686,    54.53686,   151.06149,1.5569181e+15,     3.3e-06,  0.64877034,OL07
fb03-087__0030,  0.12120334,   70.729774,   54.722166,    156.1551,1.6753722e+15,     3.3e-06,  0.63218623,OL07
fb03-087__0031,  0.11787091,   68.578259,    53.56788,   153.00264,1.5515285e+15,     3.2e-06,   0.6214174,OL07
fb03-087__0037,  0.12673915,   68.110794,   56.473987,   153.43495,1.7024052e+15,     3.8e-06,  0.72151575,OL07
fb03-087__0038,  0.12002604,    65.64365,   54.323592,   149.48976,1.5223299e+15,     2.8e-06,  0.54346585,OL07
fb03-087__0040,  0.12173171,    64.76402,   54.897913,   148.59225,1.5339905e+15,     2.8e-06,  0.54873885,OL07
fb03-087__0043,  0.12212314,   67.999056,   55.026889,    152.7948,1.6122359e+15,     3.2e-06,  0.62401344,OL07
fb03-087__0044,  0.11937572,   64.575791,   54.099184,   147.99462,1.4923146e+15,     3.2e-06,  0.64059473,OL07
fb03-087__0049,  0.11751409,   66.557745,   53.439358,   150.31159,1.4993996e+15,     2.9e-06,   0.5640365,OL07
fb03-087__0050,   0.1218044,    66.91963,   54.921943,   151.37807,1.5799839e+15,     3.5e-06,  0.68255211,OL07
fb03-087__0052,  0.11846465,   67.857854,   53.779556,   152.14792,1.5440052e+15,     3.4e-06,  0.66198645,OL07
fb03-087__0055,  0.12526796,   67.345438,   56.027004,   152.32494,1.6534803e+15,     3.3e-06,  0.64626572,OL07
fb03-087__0059,  0.11731608,   66.781784,   53.367608,   150.57594,1.5008008e+15,     3.6e-06,  0.69852948,OL07
fb03-087__0061,  0.12060058,   67.320851,   54.519321,   151.73876,1.5682281e+15,     3.3e-06,  0.64637541,OL07
fb03-087__0062,   0.1199367,   68.092238,   54.292945,   152.64562,1.5753613e+15,     3.3e-06,  0.64298427,OL07
fb03-087__0069,  0.12045887,   65.632427,   54.471263,   149.53742,1.529303e+15,     2.9e-06,  0.56917902,OL07
fb03-087__0072,   0.1200302,   67.981519,   54.325018,   152.51514,1.5742386e+15,     3.3e-06,  0.64346463,OL07
fb03-087__0075,  0.12194902,   65.407768,   54.969644,   149.45445,1.5499539e+15,       3e-06,  0.59413135,OL07
fb03-087__0076,  0.12042243,   66.119845,   54.458882,   150.16446,1.538548e+15,     2.8e-06,  0.54068166,OL07
fb03-087__0077,  0.12057881,   67.830581,   54.511948,   152.39095,1.5801851e+15,       3e-06,  0.58148868,OL07
fb03-087__0081,  0.11687734,   65.886347,   53.207521,   149.32495,1.476135e+15,     3.1e-06,  0.61357595,OL07
fb03-087__0085,  0.12071273,   64.088146,   54.557255,   147.56232,1.5055297e+15,     2.9e-06,  0.57815393,OL07
fb03-087__0088,  0.12029781,   68.161387,   54.416469,   152.78017,1.5835182e+15,     3.1e-06,   0.6023811,OL07
fb03-087__0089,  0.12073137,   66.702454,   54.563551,   150.95954,1.5563353e+15,     3.3e-06,  0.64916828,OL07
fb03-087__0095,   0.1195766,   68.022831,   54.168831,   152.50984,1.5672892e+15,     3.4e-06,  0.66129798,OL07
fb03-087__0099,    0.120146,   67.359469,   54.364653,   151.72905,1.5612114e+15,     3.6e-06,  0.69623941,OL07
fb03-087__0100,  0.11988536,   67.177937,   54.275307,   151.46001,1.5524902e+15,     3.1e-06,  0.60709945,OL07
fb03-087__0102,  0.12079425,   67.102026,   54.584773,   151.48244,1.5664933e+15,     3.3e-06,  0.64735618,OL07
fb03-087__0109,  0.11953063,   68.581441,   54.152918,   153.22338,1.5807262e+15,       3e-06,  0.57781043,OL07
fb03-087__0110,  0.12777324,   67.449853,   56.780667,   152.71579,1.7040987e+15,     3.7e-06,  0.71035456,OL07
fb03-087__0111,  0.11931157,    67.84189,    54.07688,   152.24146,1.5582261e+15,       3e-06,  0.58143243,OL07
fb03-087__0118,  0.12017175,   64.624217,   54.373454,   148.18115,1.5058994e+15,     2.8e-06,  0.54959232,OL07
fb03-087__0120,  0.12076837,   67.610904,   54.576042,     152.133,1.5781363e+15,     3.4e-06,  0.66302545,OL07
fb03-087__0126,  0.12044189,   65.210273,   54.465495,   148.98612,1.5209035e+15,     2.8e-06,  0.54604279,OL07
fb03-087__0128,   0.1206568,   68.740122,   54.538348,   153.56531,1.6052209e+15,     3.1e-06,  0.59969201,OL07
fb03-087__0129,  0.11936839,   65.895662,   54.096637,   149.72224,1.5164186e+15,     3.3e-06,  0.65290995,OL07
fb03-087__0131,  0.11953661,   65.273835,   54.154989,   148.93484, 1.50727e+15,     2.7e-06,  0.51801994,OL07
