datacase,rdist,incidentangle,dip,azimuth,k_M0uz,TR,beta_coef_p,OL
fb03-087__0004,  0.23040563,   76.176812,   72.313294,  -165.47631,5.868591e+15,     3.3e-06,    0.613972,OL22
fb03-087__0009,  0.22548905,   76.209598,    71.91447,  -165.47752,5.6404376e+15,     3.1e-06,  0.57106229,OL22
fb03-087__0018,  0.22871393,   76.407803,   72.178101,  -165.70847,5.8323854e+15,     3.5e-06,  0.65049998,OL22
fb03-087__0019,  0.22531145,   76.394822,   71.899721,  -165.67176,5.6671572e+15,     3.1e-06,  0.57050035,OL22
fb03-087__0020,  0.22859694,   76.529614,   72.168674,  -165.83604,5.850969e+15,     3.3e-06,  0.61298902,OL22
fb03-087__0021,  0.22975435,   76.342245,   72.261494,  -165.64624,5.8696334e+15,       3e-06,   0.5467886,OL22
fb03-087__0024,  0.22514898,    76.05729,   71.886206,  -165.31436,5.5961685e+15,     3.1e-06,  0.57152985,OL22
fb03-087__0027,  0.22841191,   76.724769,   72.153744,  -166.04045,5.8815415e+15,     3.3e-06,  0.61245578,OL22
fb03-087__0030,  0.23439337,   75.168341,   72.623868,  -164.44161,5.8708249e+15,     3.3e-06,  0.61691593,OL22
fb03-087__0031,  0.22810864,   75.542503,   72.129217,  -164.79233,5.6417038e+15,     3.2e-06,  0.59524331,OL22
fb03-087__0037,  0.23635315,   77.103946,   72.772472,  -166.48699,6.3599169e+15,     3.8e-06,  0.69592746,OL22
fb03-087__0038,   0.2261222,   77.095271,   71.966854,  -166.41617,5.8469899e+15,     2.8e-06,  0.49095922,OL22
fb03-087__0040,  0.22652508,   77.740569,   72.000026,  -167.09907,6.0094225e+15,     2.8e-06,  0.48893116,OL22
fb03-087__0043,  0.23160108,   76.453233,   72.407577,  -165.77492,5.9816451e+15,     3.2e-06,  0.59253383,OL22
fb03-087__0044,  0.22388739,   77.423474,   71.780562,  -166.74791,5.8079013e+15,     3.2e-06,  0.58983444,OL22
fb03-087__0049,  0.22491012,   76.304535,     71.8663,  -165.57366,5.6309868e+15,     2.9e-06,  0.52122671,OL22
fb03-087__0050,  0.22975272,   76.854869,   72.261364,  -166.18602,5.9741858e+15,     3.5e-06,  0.64937462,OL22
fb03-087__0052,  0.22771445,   75.932338,   72.097235,  -165.20058,5.6938204e+15,     3.4e-06,  0.63385406,OL22
fb03-087__0055,  0.23380989,   77.212622,   72.579119,  -166.58668,6.255369e+15,     3.3e-06,   0.6111556,OL22
fb03-087__0059,  0.22502903,   76.180847,   71.876216,  -165.44393,5.6133914e+15,     3.6e-06,  0.66779362,OL22
fb03-087__0061,  0.22911678,   76.496464,   72.210486,  -165.80451,5.8694878e+15,     3.3e-06,  0.61308035,OL22
fb03-087__0062,  0.22953172,   76.071701,   72.243717,  -165.35983,5.8063702e+15,     3.3e-06,  0.61426958,OL22
fb03-087__0069,  0.22653993,    77.17136,   72.001247,  -166.49909,5.883592e+15,     2.9e-06,  0.51846662,OL22
fb03-087__0072,  0.22947168,   76.132287,   72.238916,  -165.42325,5.8151053e+15,     3.3e-06,  0.61409779,OL22
fb03-087__0075,   0.2276984,   77.508494,    72.09593,  -166.86169,6.0150482e+15,       3e-06,  0.54326799,OL22
fb03-087__0076,  0.22721479,   76.964337,   72.056528,  -166.28519,5.8728138e+15,     2.8e-06,  0.49138317,OL22
fb03-087__0077,  0.22981351,   76.281678,   72.266212,  -165.58285,5.8605579e+15,       3e-06,  0.54697976,OL22
fb03-087__0081,  0.22329423,   76.467541,   71.730457,  -165.73438,5.5856507e+15,     3.1e-06,  0.57028175,OL22
fb03-087__0085,  0.22449179,   77.849786,    71.83133,  -167.20169,5.9330183e+15,     2.9e-06,  0.51642939,OL22
fb03-087__0088,  0.22999253,   76.100168,   72.280474,  -165.39288,5.8338962e+15,     3.1e-06,  0.57139772,OL22
fb03-087__0089,  0.22836607,   76.773607,   72.150041,  -166.09161,5.8893504e+15,     3.3e-06,  0.61232351,OL22
fb03-087__0095,  0.22907109,   76.043125,   72.206819,  -165.32663,5.7789378e+15,     3.4e-06,  0.63355018,OL22
fb03-087__0099,  0.22871393,   76.407803,   72.178101,  -165.70847,5.8323854e+15,     3.6e-06,  0.66723188,OL22
fb03-087__0100,    0.228194,   76.440817,   72.136128,  -165.73982,5.8138627e+15,     3.1e-06,  0.57036195,OL22
fb03-087__0102,  0.22900055,   76.618105,   72.201154,  -165.93189,5.8883981e+15,     3.3e-06,   0.6127463,OL22
fb03-087__0109,  0.22979898,   75.805501,   72.265054,  -165.08123,5.769002e+15,       3e-06,  0.54851122,OL22
fb03-087__0110,  0.23643392,   77.543104,   72.778541,  -166.94833,6.4681287e+15,     3.7e-06,  0.68028768,OL22
fb03-087__0111,  0.22855032,   76.075257,   72.164915,  -165.35697,5.7602135e+15,       3e-06,  0.54763744,OL22
fb03-087__0118,   0.2247582,   77.538271,   71.853617,  -166.87469,5.875802e+15,     2.8e-06,  0.48955597,OL22
fb03-087__0120,  0.22969545,   76.402842,   72.256794,  -165.70967,5.8788053e+15,     3.4e-06,  0.63257934,OL22
fb03-087__0126,  0.22590097,   77.342498,   71.948586,  -166.67547,5.8891256e+15,     2.8e-06,  0.49017017,OL22
fb03-087__0128,  0.23115593,   75.916114,   72.372588,   -165.2068,5.8544819e+15,     3.1e-06,  0.57196767,OL22
fb03-087__0129,  0.22582917,   76.882931,   71.942649,  -166.19028,5.7886237e+15,     3.3e-06,  0.61202912,OL22
fb03-087__0131,  0.22508665,   77.165439,   71.881016,  -166.48343,5.8113007e+15,     2.7e-06,  0.46086745,OL22
