expr_id,stickslip_id,gougeevent_id,event_time,event_loc_m,mean_SGT,mean_flatjack
87,3,4,0.0543809999999993,1.75,1.07690466503903,1.94376419270833
87,5,9,0.041049000000001,1.75,1.0382014873646,1.94403033854167
87,8,18,0.0455109999999976,1.75,1.04581603889209,1.94411484375
87,9,19,0.0453699999999984,1.75,1.04900444946383,1.94464166666667
87,9,20,0.0457199999999958,1.75,1.04822754549798,1.944157421875
87,10,21,0.0655939999999973,1.75,1.0847720067063,1.944973046875
87,11,24,0.0929709999999915,1.75,1.05122647053671,1.94666588541667
87,14,27,0.122827000000001,1.75,1.09700707551393,1.94251263020833
87,15,30,0.0465340000000083,1.75,1.07719519744485,1.94489661458333
87,15,31,0.0467840000000024,1.75,1.07615182901211,1.94476328125
87,17,37,0.041655999999989,1.75,1.06546593851359,1.94247838541667
87,17,38,0.0427059999999955,1.75,1.05292006243371,1.942391796875
87,18,40,0.119397000000006,1.75,1.10134616923612,1.94255638020833
87,18,43,0.129697000000007,1.75,1.09524625560896,1.94406731770833
87,19,44,0.0516700000000014,1.75,1.06625974174164,1.9443875
87,19,45,0.0517799999999937,1.75,1.06439192977721,1.94416328125
87,21,49,0.0415300000000087,1.75,1.06484928604405,1.94407890625
87,21,50,0.0417800000000028,1.75,1.06089349696932,1.94433658854167
87,21,52,0.0493300000000119,1.75,1.08368829720383,1.94562434895833
87,23,55,0.0690500000000043,1.75,1.07588509959799,1.94440546875
87,25,59,0.0411040000000042,1.75,1.07277837270854,1.94566861979167
87,25,61,0.044154000000006,1.75,1.07779846804973,1.946743359375
87,26,62,0.0514660000000049,1.75,1.10118657082062,1.944112109375
87,27,69,0.0749560000000002,1.75,1.11329652143688,1.94342513020833
87,29,72,0.0424370000000067,1.75,1.07545073560014,1.94262643229167
87,31,75,0.0556020000000217,1.75,1.0951878111736,1.94432200520833
87,31,76,0.0568020000000047,1.75,1.10323025318603,1.942778515625
87,31,77,0.0581020000000194,1.75,1.1057266561852,1.94245338541667
87,33,81,0.0415020000000084,1.75,1.09630228437714,1.94239348958333
87,34,85,0.084575000000001,1.75,1.13260775137548,1.94238841145833
87,35,88,0.0414089999999874,1.75,1.09187454453152,1.94219700520833
87,35,89,0.0643090000000086,1.75,1.13679562033424,1.94259140625
87,37,95,0.0429420000000107,1.75,1.09965255016526,1.941435546875
87,39,99,0.0422440000000108,1.75,1.09837373537568,1.94243385416667
87,39,100,0.0478439999999978,1.75,1.11617708106345,1.94253567708333
87,40,102,0.0821569999999952,1.75,1.12641563411612,1.94061302083333
87,42,109,0.0739049999999963,1.75,1.1252941423159,1.942398828125
87,43,110,0.0409589999999866,1.75,1.09797082802641,1.94239817708333
87,43,111,0.0531589999999937,1.75,1.12623223321498,1.94236236979167
87,46,118,0.0814570000000003,1.75,1.12639209307727,1.941441796875
87,49,120,0.0516400000000203,1.75,1.12296580616281,1.93993984375
87,52,126,0.0668450000000007,1.75,1.12636299715021,1.94029518229167
87,53,128,0.0814290000000142,1.75,1.10109562196341,1.94231028645833
87,54,129,0.0596030000000098,1.75,1.12479115463763,1.94012096354167
87,55,131,0.0415649999999914,1.75,1.07547916643297,1.941426953125
