index,expr_id,datacase,gougeevent_id,AEsensor,Qinv_quart,M0,Tw,Tshift,stf_type,peakSTFamp,fitting_flag,error_fraction,error_thresh,RMSE,SNR_sensor,SNR_thresh,validflag
fb03-087__OL08,fb03-087,fb03-087__0021,21,8,50,2.49058884e-02,2.09732794e-06,1.27489177e-09,cosine,2.37501136e+04,True,2.37893363e-02,6.00000000e-02,5.64999439e+02,2.33233165e+01,4.50000000e+00,1
fb03-087__OL22,fb03-087,fb03-087__0021,21,22,50,2.25922404e-02,2.29611609e-06,-1.07025498e-07,cosine,1.96786477e+04,True,2.68664191e-02,6.00000000e-02,5.28694797e+02,1.79490543e+01,4.50000000e+00,1
fb03-087__OL23,fb03-087,fb03-087__0024,24,23,50,4.33097007e-02,2.77599570e-06,-1.77999530e-07,cosine,3.12030027e+04,True,4.46717803e-02,6.00000000e-02,1.39389368e+03,1.25384359e+01,4.50000000e+00,1
fb03-087__OL07,fb03-087,fb03-087__0024,24,7,50,6.41626698e-02,2.59868743e-06,-1.11598328e-07,cosine,4.93808108e+04,True,2.29767813e-02,6.00000000e-02,1.13461209e+03,1.34460864e+01,4.50000000e+00,1
fb03-087__OL08,fb03-087,fb03-087__0024,24,8,50,6.08837545e-02,2.13429893e-06,1.66899828e-08,cosine,5.70526655e+04,True,1.43158036e-02,6.00000000e-02,8.16754757e+02,2.17944975e+01,4.50000000e+00,1
fb03-087__OL22,fb03-087,fb03-087__0024,24,22,50,9.42004227e-02,2.34905191e-06,-8.65813540e-08,cosine,8.02029297e+04,True,4.73204945e-02,6.00000000e-02,3.79524229e+03,1.50537633e+01,4.50000000e+00,1
fb03-087__OL23,fb03-087,fb03-087__0027,27,23,50,4.72919948e-01,2.43856197e-06,2.24306263e-08,cosine,3.87867733e+05,True,9.81919138e-03,6.00000000e-02,3.80854750e+03,1.82634157e+01,4.50000000e+00,1
fb03-087__OL07,fb03-087,fb03-087__0027,27,7,50,8.12283852e-01,2.79865416e-06,-1.05846729e-08,cosine,5.80481581e+05,True,1.24074176e-02,6.00000000e-02,7.20227736e+03,2.39779171e+01,4.50000000e+00,1
fb03-087__OL08,fb03-087,fb03-087__0027,27,8,50,7.85642388e-01,2.34613807e-06,-1.45742182e-08,cosine,6.69732140e+05,True,1.61894793e-02,6.00000000e-02,1.08426146e+04,2.51111898e+01,4.50000000e+00,1
fb03-087__OL22,fb03-087,fb03-087__0027,27,22,50,9.69557537e-01,2.60309806e-06,-4.09196019e-08,cosine,7.44925864e+05,True,8.07853591e-03,6.00000000e-02,6.01791034e+03,3.10969428e+01,4.50000000e+00,1
fb03-087__OL23,fb03-087,fb03-087__0030,30,23,50,5.88396766e-02,2.77490596e-06,-2.57957711e-07,cosine,4.24083976e+04,True,5.06443589e-02,6.00000000e-02,2.14774611e+03,8.55446677e+00,4.50000000e+00,1
fb03-087__OL07,fb03-087,fb03-087__0030,30,7,50,4.40488054e-02,2.44597565e-06,-1.50918157e-07,cosine,3.60173703e+04,True,4.19389868e-02,6.00000000e-02,1.51053202e+03,6.40745132e+00,4.50000000e+00,1
fb03-087__OL08,fb03-087,fb03-087__0030,30,8,50,2.98856057e-02,1.66599892e-06,-1.23999335e-07,cosine,3.58771010e+04,True,2.83641025e-02,6.00000000e-02,1.01762177e+03,3.81404113e+00,4.50000000e+00,0
fb03-087__OL22,fb03-087,fb03-087__0030,30,22,50,7.85643059e-02,2.32917654e-06,-1.56250090e-07,cosine,6.74610143e+04,True,2.62888517e-02,6.00000000e-02,1.77347260e+03,3.39599169e+00,4.50000000e+00,0
fb03-087__OL23,fb03-087,fb03-087__0031,31,23,50,6.22259933e-01,2.43323269e-06,1.60125114e-08,cosine,5.11467675e+05,True,1.16131097e-02,6.00000000e-02,5.93973023e+03,1.70976112e+01,4.50000000e+00,1
fb03-087__OL07,fb03-087,fb03-087__0031,31,7,50,1.05301154e+00,2.85321637e-06,-2.76843186e-08,cosine,7.38122458e+05,True,8.98614780e-03,6.00000000e-02,6.63287751e+03,1.74830342e+01,4.50000000e+00,1
fb03-087__OL08,fb03-087,fb03-087__0031,31,8,50,9.62501986e-01,2.38695684e-06,5.17614102e-09,cosine,8.06467508e+05,True,6.89656465e-03,6.00000000e-02,5.56185531e+03,1.51419871e+01,4.50000000e+00,1
fb03-087__OL22,fb03-087,fb03-087__0031,31,22,50,1.25078973e+00,2.66267548e-06,-8.58945092e-08,cosine,9.39498114e+05,True,2.04491492e-02,6.00000000e-02,1.92119371e+04,2.36519141e+01,4.50000000e+00,1
fb03-087__OL23,fb03-087,fb03-087__0037,37,23,50,2.63358433e-02,1.93658986e-06,-1.33646663e-07,cosine,2.71981450e+04,True,3.63579217e-02,6.00000000e-02,9.88868027e+02,9.99754049e+00,4.50000000e+00,1
fb03-087__OL07,fb03-087,fb03-087__0037,37,7,50,2.52604309e-02,2.69862376e-06,-1.15805251e-07,cosine,1.87209663e+04,True,3.41238691e-02,6.00000000e-02,6.38831805e+02,4.78045743e+00,4.50000000e+00,1
fb03-087__OL08,fb03-087,fb03-087__0037,37,8,50,2.16562498e-02,1.73027776e-06,-1.24189742e-07,cosine,2.50320873e+04,True,4.16190926e-02,6.00000000e-02,1.04181276e+03,7.52334625e+00,4.50000000e+00,1
fb03-087__OL22,fb03-087,fb03-087__0037,37,22,50,8.76083565e-02,2.43709035e-06,-1.40998942e-07,cosine,7.18958627e+04,True,3.75606134e-02,6.00000000e-02,2.70045271e+03,3.91301546e+00,4.50000000e+00,0
fb03-087__OL23,fb03-087,fb03-087__0038,38,23,50,2.00103120e-01,2.13328611e-06,-2.96237360e-08,cosine,1.87600827e+05,True,1.62427954e-02,6.00000000e-02,3.04716185e+03,2.20297144e+01,4.50000000e+00,1
fb03-087__OL07,fb03-087,fb03-087__0038,38,7,50,2.84147832e-01,2.57773885e-06,-1.15862122e-07,cosine,2.20462854e+05,True,1.73759998e-02,6.00000000e-02,3.83076250e+03,2.58067166e+01,4.50000000e+00,1
