t,LDV
0,2.21104736328125e-05
1e-07,2.68272094726563e-05
2e-07,3.89171447753906e-05
3e-07,2.88698120117188e-05
4e-07,1.59196472167969e-05
5e-07,2.44930114746094e-05
6e-07,2.32918395996094e-05
7e-07,3.44701843261719e-05
8e-07,4.33182983398437e-05
9e-07,2.74873046875e-05
1e-06,2.32624816894531e-05
1.1e-06,2.20739135742188e-05
1.2e-06,2.42765808105469e-05
1.3e-06,1.8077880859375e-05
1.4e-06,3.452978515625e-05
1.5e-06,2.87578125e-05
1.6e-06,2.23939819335938e-05
1.7e-06,2.39736022949219e-05
1.8e-06,2.9633544921875e-05
1.9e-06,2.21674499511719e-05
2e-06,2.96890258789062e-05
2.1e-06,4.59132690429687e-05
2.2e-06,3.62589416503906e-05
2.3e-06,1.33562622070312e-05
2.4e-06,1.48140869140625e-05
2.5e-06,2.26846618652344e-05
2.6e-06,2.74722595214844e-05
2.7e-06,2.9138916015625e-05
2.8e-06,2.15355834960938e-05
2.9e-06,3.15690002441406e-05
3e-06,3.09205017089844e-05
3.1e-06,3.00169677734375e-05
3.2e-06,2.47381591796875e-05
3.3e-06,2.00693054199219e-05
3.4e-06,2.99721374511719e-05
3.5e-06,2.88286743164062e-05
3.6e-06,3.08247985839844e-05
3.7e-06,3.67621154785156e-05
3.8e-06,2.51088256835937e-05
3.9e-06,2.23189392089844e-05
4e-06,3.04563598632813e-05
4.1e-06,3.18406066894531e-05
4.2e-06,3.30711669921875e-05
4.3e-06,2.59501037597656e-05
4.4e-06,3.12294006347656e-05
4.5e-06,3.37110595703125e-05
4.6e-06,3.08187866210938e-05
4.7e-06,3.06171569824219e-05
4.8e-06,3.554296875e-05
4.9e-06,2.91354064941406e-05
5e-06,3.09637145996094e-05
5.1e-06,1.63966064453125e-05
5.2e-06,2.87664489746094e-05
5.3e-06,3.21625061035156e-05
5.4e-06,3.23381652832031e-05
5.5e-06,3.09326171875e-05
5.6e-06,3.21205749511719e-05
5.7e-06,3.58604125976563e-05
5.8e-06,3.19597778320313e-05
5.9e-06,2.16622619628906e-05
6e-06,2.34814758300781e-05
6.1e-06,4.32114562988281e-05
6.2e-06,3.3182373046875e-05
6.3e-06,1.82951049804687e-05
6.4e-06,2.29814453125e-05
6.5e-06,2.75989685058594e-05
6.6e-06,3.36279296875e-05
6.7e-06,1.59716186523437e-05
6.8e-06,2.01671447753906e-05
6.9e-06,2.4968994140625e-05
7e-06,1.27416381835938e-05
7.1e-06,2.92342529296875e-05
7.2e-06,2.88640747070313e-05
7.3e-06,2.37108154296875e-05
7.4e-06,4.81216735839844e-05
7.5e-06,3.32589111328125e-05
7.6e-06,1.43883361816406e-05
7.7e-06,3.39820861816406e-05
7.8e-06,3.72684936523438e-05
7.9e-06,2.93528442382813e-05
8e-06,3.635791015625e-05
8.1e-06,3.32571105957031e-05
8.2e-06,2.79612121582031e-05
8.3e-06,3.7081298828125e-05
8.4e-06,1.55810241699219e-05
8.5e-06,2.69000854492187e-05
8.6e-06,2.320068359375e-05
8.7e-06,1.75451049804688e-05
8.8e-06,4.15211486816406e-05
8.9e-06,3.41728820800781e-05
9e-06,2.5779296875e-05
9.1e-06,2.58737182617188e-05
9.2e-06,3.48671264648437e-05
9.3e-06,2.94041748046875e-05
9.4e-06,1.82208251953125e-05
9.5e-06,3.74667053222656e-05
9.6e-06,2.27667846679687e-05
9.7e-06,2.48939514160156e-05
9.8e-06,2.51352844238281e-05
9.9e-06,3.34668273925781e-05
1e-05,1.96253662109375e-05
1.01e-05,4.01626281738281e-05
1.02e-05,2.25408020019531e-05
1.03e-05,3.51175842285156e-05
1.04e-05,3.22070617675781e-05
1.05e-05,1.78063354492188e-05
1.06e-05,3.16207275390625e-05
1.07e-05,2.20776672363281e-05
1.08e-05,2.30633850097656e-05
1.09e-05,3.32582702636719e-05
1.1e-05,2.96640319824219e-05
1.11e-05,2.88229064941406e-05
1.12e-05,2.46947326660156e-05
1.13e-05,2.3782958984375e-05
1.14e-05,2.95481872558594e-05
1.15e-05,2.39945373535156e-05
1.16e-05,3.10932312011719e-05
1.17e-05,3.36216430664063e-05
1.18e-05,2.65962524414063e-05
1.19e-05,1.65272521972656e-05
1.2e-05,3.02303161621094e-05
1.21e-05,2.59263305664063e-05
1.22e-05,3.55115356445313e-05
1.23e-05,1.95428466796875e-05
1.24e-05,2.9889892578125e-05
1.25e-05,3.05329284667969e-05
1.26e-05,2.71212463378906e-05
1.27e-05,2.87607116699219e-05
1.28e-05,3.13639526367187e-05
1.29e-05,1.76355285644531e-05
1.3e-05,3.7795166015625e-05
1.31e-05,3.99393310546875e-05
1.32e-05,2.24049987792969e-05
1.33e-05,2.50902709960938e-05
1.34e-05,3.97408752441406e-05
1.35e-05,3.0299072265625e-05
1.36e-05,3.46787414550781e-05
1.37e-05,2.0028076171875e-05
1.38e-05,2.53262329101563e-05
1.39e-05,2.24257202148437e-05
1.4e-05,2.47117919921875e-05
1.41e-05,2.66708984375e-05
1.42e-05,2.54493713378906e-05
1.43e-05,2.68529357910156e-05
1.44e-05,3.23735046386719e-05
1.45e-05,3.26284484863281e-05
1.46e-05,3.54351501464844e-05
1.47e-05,3.07840881347656e-05
1.48e-05,1.82664184570313e-05
1.49e-05,2.60551452636719e-05
1.5e-05,3.23550415039063e-05
1.51e-05,3.24580688476562e-05
1.52e-05,2.33995361328125e-05
1.53e-05,2.76068115234375e-05
1.54e-05,3.17007141113281e-05
1.55e-05,2.616259765625e-05
1.56e-05,3.31307983398438e-05
1.57e-05,2.50528869628906e-05
1.58e-05,3.20744323730469e-05
1.59e-05,1.60018310546875e-05
1.6e-05,2.41857604980469e-05
1.61e-05,2.39585571289063e-05
1.62e-05,3.76034851074219e-05
1.63e-05,2.04069213867188e-05
1.64e-05,3.47053833007813e-05
1.65e-05,3.78954162597656e-05
1.66e-05,2.74606628417969e-05
1.67e-05,1.9862548828125e-05
1.68e-05,2.44602661132812e-05
1.69e-05,2.30984802246094e-05
1.7e-05,3.17034301757813e-05
1.71e-05,2.88838806152344e-05
1.72e-05,3.15635070800781e-05
1.73e-05,6.41220703125e-05
1.74e-05,0.000173999328613281
1.75e-05,0.000211524383544922
1.76e-05,0.000131006408691406
1.77e-05,6.14865112304688e-05
1.78e-05,-7.26332397460938e-05
1.79e-05,-0.000296071228027344
1.8e-05,-0.000232148895263672
1.81e-05,-4.19034729003906e-05
1.82e-05,-5.7064208984375e-06
1.83e-05,6.83671569824219e-05
1.84e-05,0.000108803649902344
1.85e-05,5.165673828125e-05
1.86e-05,1.62238159179688e-05
1.87e-05,1.46472778320312e-05
1.88e-05,3.34314575195313e-05
1.89e-05,9.96898498535156e-05
1.9e-05,7.70774841308594e-05
1.91e-05,5.42223815917969e-05
1.92e-05,7.81896057128906e-05
1.93e-05,5.53274230957031e-05
1.94e-05,1.54249572753906e-05
1.95e-05,2.58721923828125e-05
1.96e-05,3.81377563476563e-05
1.97e-05,3.22424621582031e-05
1.98e-05,3.04635009765625e-05
1.99e-05,1.428564453125e-05
2e-05,2.536572265625e-05
2.01e-05,2.41981811523437e-05
2.02e-05,1.00807800292969e-05
2.03e-05,1.11742858886719e-05
2.04e-05,1.90035705566406e-05
2.05e-05,3.14725952148438e-05
2.06e-05,4.32748718261719e-05
2.07e-05,2.87310180664062e-05
2.08e-05,3.74449768066406e-05
2.09e-05,3.74195251464844e-05
2.1e-05,1.9014404296875e-05
2.11e-05,1.34430847167969e-05
2.12e-05,2.48888244628906e-05
2.13e-05,3.05242919921875e-05
2.14e-05,2.40805358886719e-05
2.15e-05,2.49011535644531e-05
2.16e-05,2.26719970703125e-05
2.17e-05,2.77412109375e-05
2.18e-05,3.19850158691406e-05
2.19e-05,2.95054931640625e-05
2.2e-05,3.09114074707031e-05
2.21e-05,3.71826171875e-05
2.22e-05,3.51895751953125e-05
2.23e-05,3.71424560546875e-05
2.24e-05,9.98190307617188e-06
2.25e-05,1.07160339355469e-05
2.26e-05,2.84994201660156e-05
2.27e-05,2.39543151855469e-05
2.28e-05,4.14515075683594e-05
2.29e-05,2.9882568359375e-05
2.3e-05,2.70072021484375e-05
2.31e-05,2.6537841796875e-05
2.32e-05,4.59566040039062e-05
2.33e-05,2.49421081542969e-05
2.34e-05,4.2353271484375e-05
2.35e-05,3.102294921875e-05
2.36e-05,2.40768737792969e-05
2.37e-05,1.79810180664063e-05
2.38e-05,2.47252807617188e-05
2.39e-05,3.09015197753906e-05
2.4e-05,3.4269287109375e-05
2.41e-05,1.88302917480469e-05
2.42e-05,2.42461242675781e-05
2.43e-05,3.60822448730469e-05
2.44e-05,2.18188781738281e-05
2.45e-05,1.95307312011719e-05
2.46e-05,3.1177734375e-05
2.47e-05,2.88235473632813e-05
2.48e-05,3.50526733398438e-05
2.49e-05,4.12832641601562e-05
2.5e-05,3.18544921875e-05
2.51e-05,4.97787170410156e-05
2.52e-05,3.95899963378906e-05
2.53e-05,2.03637390136719e-05
2.54e-05,2.52482604980469e-05
2.55e-05,2.52637939453125e-05
2.56e-05,2.96268615722656e-05
2.57e-05,2.79475402832031e-05
2.58e-05,3.27959899902344e-05
2.59e-05,3.34907531738281e-05
2.6e-05,1.83717041015625e-05
2.61e-05,2.21607360839844e-05
2.62e-05,1.99519958496094e-05
2.63e-05,2.88187866210938e-05
2.64e-05,3.06199035644531e-05
2.65e-05,3.29192504882812e-05
2.66e-05,3.01569519042969e-05
2.67e-05,2.53742980957031e-05
2.68e-05,2.85632629394531e-05
2.69e-05,2.95693664550781e-05
2.7e-05,2.92996826171875e-05
2.71e-05,2.36988525390625e-05
2.72e-05,1.87384033203125e-05
2.73e-05,2.5044189453125e-05
2.74e-05,1.08471984863281e-05
2.75e-05,1.82460327148438e-05
2.76e-05,1.63858642578125e-05
2.77e-05,1.18887023925781e-05
2.78e-05,3.70999450683594e-05
2.79e-05,4.18076171875e-05
2.8e-05,4.17972412109375e-05
2.81e-05,2.91659545898437e-05
2.82e-05,4.18063049316406e-05
2.83e-05,3.08205261230469e-05
2.84e-05,3.72995300292969e-05
2.85e-05,3.91174621582031e-05
2.86e-05,4.01998596191406e-05
2.87e-05,3.93941040039063e-05
2.88e-05,4.86573486328125e-05
2.89e-05,3.41161499023437e-05
2.9e-05,2.64070129394531e-05
2.91e-05,1.76711730957031e-05
2.92e-05,1.31108703613281e-05
2.93e-05,1.212109375e-05
2.94e-05,2.60110168457031e-05
2.95e-05,2.26069946289062e-05
2.96e-05,2.33888854980469e-05
2.97e-05,1.82297668457031e-05
2.98e-05,2.56651000976563e-05
2.99e-05,2.05732727050781e-05
3e-05,2.3169677734375e-05
3.01e-05,2.63330688476563e-05
3.02e-05,3.21277160644531e-05
3.03e-05,3.24192810058594e-05
3.04e-05,3.89024047851562e-05
3.05e-05,2.31134643554688e-05
3.06e-05,2.5416015625e-05
3.07e-05,3.23807983398437e-05
3.08e-05,2.00160522460937e-05
3.09e-05,2.0703857421875e-05
3.1e-05,2.59465942382813e-05
3.11e-05,3.15827331542969e-05
3.12e-05,2.92708435058594e-05
3.13e-05,3.72270812988281e-05
3.14e-05,3.58294677734375e-05
3.15e-05,1.34859313964844e-05
3.16e-05,2.27315368652344e-05
3.17e-05,2.49681091308594e-05
3.18e-05,1.52633056640625e-05
3.19e-05,3.11291198730469e-05
3.2e-05,3.6360107421875e-05
3.21e-05,4.66551208496094e-05
3.22e-05,4.02504272460937e-05
3.23e-05,4.98652038574219e-05
3.24e-05,6.0210693359375e-05
3.25e-05,6.38086242675781e-05
3.26e-05,5.95487060546875e-05
3.27e-05,5.69230651855469e-05
3.28e-05,4.89120178222656e-05
3.29e-05,2.78460083007812e-05
3.3e-05,6.17184448242188e-06
3.31e-05,2.450390625e-05
3.32e-05,1.36195678710938e-05
3.33e-05,2.79934692382813e-06
3.34e-05,4.7618408203125e-06
3.35e-05,5.19778442382813e-06
3.36e-05,1.3654541015625e-05
3.37e-05,1.12787170410156e-05
3.38e-05,1.53224487304688e-05
3.39e-05,2.3670654296875e-06
3.4e-05,1.43585205078125e-07
3.41e-05,-8.57894897460938e-06
3.42e-05,1.59142761230469e-05
3.43e-05,1.542138671875e-05
3.44e-05,4.24568176269531e-05
3.45e-05,3.73677673339844e-05
3.46e-05,4.26622924804688e-05
3.47e-05,5.62268981933594e-05
3.48e-05,3.07688598632813e-05
3.49e-05,3.68374328613281e-05
3.5e-05,3.82710266113281e-05
3.51e-05,3.41355285644531e-05
3.52e-05,4.20382080078125e-05
3.53e-05,4.28281555175781e-05
3.54e-05,4.62861633300781e-05
3.55e-05,3.28060913085937e-05
3.56e-05,4.9616455078125e-05
3.57e-05,4.70736389160156e-05
3.58e-05,2.08806762695313e-05
3.59e-05,-4.02789306640625e-06
3.6e-05,-2.04483032226562e-06
3.61e-05,-1.28136901855469e-05
3.62e-05,2.52288818359375e-06
3.63e-05,2.85914306640625e-05
3.64e-05,3.81999816894531e-05
3.65e-05,4.79590759277344e-05
3.66e-05,4.59357604980469e-05
3.67e-05,2.01767272949219e-05
3.68e-05,1.60660705566406e-05
3.69e-05,2.39015808105469e-05
3.7e-05,1.67367858886719e-05
