t,LDV
0,6.31814270019531e-05
1e-07,5.68055114746094e-05
2e-07,-1.22815856933594e-05
3e-07,2.87559814453125e-05
4e-07,3.05628967285156e-05
5e-07,2.19721069335938e-05
6e-07,2.81381225585938e-05
7e-07,4.16629028320312e-05
8e-07,2.54520874023437e-05
9e-07,3.12929382324219e-05
1e-06,4.5064453125e-05
1.1e-06,2.67725524902344e-05
1.2e-06,4.13824157714844e-05
1.3e-06,1.28006896972656e-05
1.4e-06,1.6500244140625e-06
1.5e-06,2.42359924316406e-05
1.6e-06,1.02728576660156e-05
1.7e-06,1.89156799316406e-05
1.8e-06,4.63593444824219e-05
1.9e-06,2.9673095703125e-05
2e-06,5.12330627441406e-05
2.1e-06,3.25272216796875e-05
2.2e-06,4.97723388671875e-06
2.3e-06,6.13124694824219e-05
2.4e-06,1.10690002441406e-05
2.5e-06,3.2501220703125e-08
2.6e-06,3.96979675292969e-05
2.7e-06,2.87255249023437e-05
2.8e-06,4.06225280761719e-05
2.9e-06,-1.19913635253906e-05
3e-06,2.865673828125e-05
3.1e-06,7.01283569335938e-05
3.2e-06,-2.35714721679688e-06
3.3e-06,3.26290893554688e-05
3.4e-06,1.28892211914063e-05
3.5e-06,1.02296752929688e-05
3.6e-06,4.59673767089844e-05
3.7e-06,3.36961364746094e-05
3.8e-06,3.07389831542969e-05
3.9e-06,5.0146484375e-05
4e-06,1.27895812988281e-05
4.1e-06,2.69953918457031e-05
4.2e-06,2.12641296386719e-05
4.3e-06,2.00580139160156e-05
4.4e-06,4.92813110351563e-05
4.5e-06,3.44048767089844e-05
4.6e-06,4.37184448242188e-05
4.7e-06,1.44269104003906e-05
4.8e-06,-1.44237670898438e-05
4.9e-06,1.07952880859375e-05
5e-06,2.8290283203125e-05
5.1e-06,5.422216796875e-05
5.2e-06,5.50257568359375e-05
5.3e-06,5.02037658691406e-05
5.4e-06,6.86345825195312e-05
5.5e-06,2.388916015625e-05
5.6e-06,-1.24093627929687e-06
5.7e-06,5.10617065429687e-06
5.8e-06,2.84721069335937e-05
5.9e-06,6.02428283691406e-05
6e-06,1.78207397460938e-06
6.1e-06,5.39794921875e-07
6.2e-06,3.83948059082031e-05
6.3e-06,3.45945739746094e-05
6.4e-06,5.05277709960937e-05
6.5e-06,3.58309631347656e-05
6.6e-06,6.34210205078125e-06
6.7e-06,4.25263061523438e-05
6.8e-06,2.58871154785156e-05
6.9e-06,3.72933349609375e-05
7e-06,3.85986328125e-05
7.1e-06,8.84552001953125e-06
7.2e-06,2.94538879394531e-05
7.3e-06,5.78079528808594e-05
7.4e-06,3.47754821777344e-05
7.5e-06,9.90847778320312e-06
7.6e-06,3.338623046875e-08
7.7e-06,2.14277648925781e-05
7.8e-06,4.32115478515625e-05
7.9e-06,3.135595703125e-05
8e-06,3.82642822265625e-05
8.1e-06,3.3690185546875e-05
8.2e-06,3.28060302734375e-05
8.3e-06,3.35626831054688e-05
8.4e-06,2.10691833496094e-05
8.5e-06,1.72295837402344e-05
8.6e-06,5.47787475585938e-05
8.7e-06,5.17481689453125e-05
8.8e-06,4.01896057128906e-05
8.9e-06,1.81255493164062e-05
9e-06,3.00924682617188e-06
9.1e-06,3.16438293457031e-05
9.2e-06,5.29156494140625e-06
9.3e-06,3.51799011230469e-05
9.4e-06,1.90918884277344e-05
9.5e-06,6.96166076660156e-05
9.6e-06,3.96954956054687e-05
9.7e-06,2.90904846191406e-05
9.8e-06,3.40704345703125e-06
9.9e-06,1.27367553710938e-05
1e-05,8.0133056640625e-06
1.01e-05,6.18193359375e-05
1.02e-05,4.07876281738281e-05
1.03e-05,-2.56444396972656e-05
1.04e-05,6.75919494628906e-05
1.05e-05,3.14686584472656e-05
1.06e-05,2.3691650390625e-05
1.07e-05,3.17529602050781e-05
1.08e-05,1.95852966308594e-05
1.09e-05,1.10523071289063e-05
1.1e-05,2.5103759765625e-06
1.11e-05,6.65167541503906e-05
1.12e-05,2.89975891113281e-05
1.13e-05,2.6827392578125e-05
1.14e-05,1.33561401367187e-05
1.15e-05,2.85555419921875e-05
1.16e-05,2.63602294921875e-05
1.17e-05,5.53013305664063e-05
1.18e-05,4.649755859375e-05
1.19e-05,4.48494873046875e-05
1.2e-05,-2.70925598144531e-05
1.21e-05,9.8275146484375e-06
1.22e-05,5.08836669921875e-05
1.23e-05,5.80636901855469e-05
1.24e-05,4.28940124511719e-05
1.25e-05,2.491943359375e-06
1.26e-05,2.34349365234375e-05
1.27e-05,3.64667053222656e-05
1.28e-05,3.42168884277344e-05
1.29e-05,4.36284790039063e-05
1.3e-05,2.89716491699219e-05
1.31e-05,7.98507690429688e-06
1.32e-05,5.40229187011719e-05
1.33e-05,4.80544128417969e-05
1.34e-05,-3.76168823242187e-06
1.35e-05,5.48606872558594e-05
1.36e-05,3.8530029296875e-05
1.37e-05,2.32572021484375e-05
1.38e-05,3.4290283203125e-05
1.39e-05,5.30642700195313e-06
1.4e-05,1.64814147949219e-05
1.41e-05,4.05072937011719e-05
1.42e-05,4.00684204101562e-05
1.43e-05,7.69577026367188e-06
1.44e-05,5.72950439453125e-05
1.45e-05,2.87362976074219e-05
1.46e-05,4.06358947753906e-05
1.47e-05,1.57947692871094e-05
1.48e-05,2.44468383789062e-05
1.49e-05,-8.66741943359375e-06
1.5e-05,3.13957214355469e-05
1.51e-05,6.41107788085938e-05
1.52e-05,4.55590515136719e-05
1.53e-05,1.79230651855469e-05
1.54e-05,1.65063171386719e-05
1.55e-05,4.54209289550781e-05
1.56e-05,4.02648010253906e-05
1.57e-05,-1.87679138183594e-05
1.58e-05,4.95847473144531e-05
1.59e-05,2.89458312988281e-05
1.6e-05,3.17745971679687e-06
1.61e-05,1.83848266601563e-05
1.62e-05,2.1827880859375e-05
1.63e-05,3.10474243164062e-05
1.64e-05,3.60049743652344e-05
1.65e-05,4.35354309082031e-05
1.66e-05,3.32176818847656e-05
1.67e-05,1.91311950683594e-05
1.68e-05,1.98698425292969e-05
1.69e-05,3.27192077636719e-05
1.7e-05,5.50667114257813e-05
1.71e-05,4.11422424316406e-05
1.72e-05,2.14732055664062e-05
1.73e-05,0.000288806243896484
1.74e-05,0.000910656219482422
1.75e-05,0.000891030914306641
1.76e-05,0.000553667297363281
1.77e-05,0.000366566925048828
1.78e-05,-0.000737583343505859
1.79e-05,-0.00156214724731445
1.8e-05,-0.00100829925537109
1.81e-05,-0.000802553070068359
1.82e-05,-0.000414371673583984
1.83e-05,0.000377431335449219
1.84e-05,0.000243250854492187
1.85e-05,0.000128503570556641
1.86e-05,0.000106801177978516
1.87e-05,-0.000121425262451172
1.88e-05,0.000147179382324219
1.89e-05,0.000334061828613281
1.9e-05,0.000249999298095703
1.91e-05,0.000398374328613281
1.92e-05,0.000347810638427734
1.93e-05,7.48712463378906e-05
1.94e-05,7.17729187011719e-05
1.95e-05,1.95869445800781e-05
1.96e-05,6.44802856445313e-06
