,AEsensor,gainfactor
0,OL01,0.40970887725946
1,OL02,0.319299042914011
2,OL03,0.539748231476415
3,OL04,0.427432964328051
4,OL05,0.436925049448464
5,OL06,0.270503438038028
6,OL07,0.552502338879186
7,OL08,0.602334557064671
8,OL09,0.608304078626126
9,OL10,0.574132096398804
10,OL11,0.477847842580968
11,OL12,0.599229769334636
12,OL13,0.647620095518278
13,OL14,0.592132252927114
14,OL15,0.643803859870597
15,OL16,0.599156456988156
16,OL17,0.525621773743895
17,OL18,0.560387296864633
18,OL19,0.662755186611768
19,OL20,0.583525090038717
20,OL21,0.599061361883605
21,OL22,0.649464958327197
22,OL23,0.602861391337672
23,OL24,0.638870246234123
24,OL25,0.778421014512433
25,OL26,0.729731745317179
26,OL27,0.865869664671661
27,OL28,0.725742418848279
28,OL29,0.389619710905492
29,OL30,0.73607931323232
30,OL31,0.473849202627427
31,OL32,0.629438775018199
