,t,loc_slip,loc_traction
0,0.0,0.0,4045640.5
1,9.777979e-09,7.422416e-26,4045640.5
2,1.955596e-08,2.4648622e-25,4045640.8
3,2.933394e-08,4.3838416e-25,4045640.8
4,3.911191e-08,5.3475066e-25,4045640.2
5,4.888989e-08,5.4799914e-25,4045640.5
6,5.866787e-08,2.527221e-25,4045640.8
7,6.844585e-08,4.1651624e-25,4045640.8
8,7.822383e-08,5.3666725e-25,4045640.5
9,8.800181e-08,5.916728e-25,4045639.8
10,9.777979e-08,5.7883734e-25,4045640.5
11,1.075578e-07,8.328488e-25,4045641.2
12,1.173357e-07,9.441836e-25,4045640.5
13,1.271137e-07,8.184982e-25,4045639.8
14,1.368917e-07,9.441513e-25,4045640.2
15,1.466697e-07,1.0435009e-24,4045641.0
16,1.564477e-07,8.538648e-25,4045641.2
17,1.662256e-07,8.828096e-25,4045640.5
18,1.760036e-07,1.024886e-24,4045639.2
19,1.857816e-07,8.570315e-25,4045640.8
20,1.955596e-07,7.283501e-25,4045642.0
21,2.053375e-07,8.526843e-25,4045640.8
22,2.151155e-07,5.887577e-25,4045638.5
23,2.248935e-07,5.489758e-25,4045641.0
24,2.346715e-07,6.812427e-25,4045642.0
25,2.444495e-07,6.4330665e-25,4045641.0
26,2.542274e-07,5.9056065e-25,4045639.5
27,2.640054e-07,4.2838914e-25,4045640.5
28,2.737834e-07,6.1759555e-25,4045641.8
29,2.835614e-07,3.14734e-25,4045642.0
30,2.933394e-07,4.3933744e-25,4045640.2
31,3.031173e-07,4.1691713e-25,4045638.5
32,3.128953e-07,3.4551869e-25,4045641.8
33,3.226733e-07,4.0786358e-26,4045652.8
34,3.324513e-07,5.213622e-26,4045675.8
35,3.422292e-07,1.7789892e-25,4045720.2
36,3.520072e-07,1.2322249e-25,4045800.2
37,3.617852e-07,4.7830575e-26,4045913.5
38,3.715632e-07,7.373358e-26,4046053.8
39,3.813412e-07,-1.2176665e-25,4046237.0
40,3.911191e-07,-1.00739917e-25,4046477.2
41,4.008971e-07,-1.0447493e-25,4046769.8
42,4.106751e-07,-2.3423203e-25,4047105.8
43,4.204531e-07,-4.31496e-25,4047507.8
44,4.302311e-07,-4.6331275e-25,4047991.0
45,4.40009e-07,-4.788062e-25,4048551.2
46,4.49787e-07,-3.8473917e-25,4049176.2
47,4.59565e-07,-5.225196e-25,4049895.2
48,4.69343e-07,-6.2322664e-25,4050731.8
49,4.791209e-07,-5.5239975e-25,4051672.5
50,4.888989e-07,-6.2488665e-25,4052714.8
51,4.986769e-07,-6.6804676e-25,4053888.2
52,5.084549e-07,-6.3595333e-25,4055227.5
53,5.182329e-07,-4.9429955e-25,4056712.5
54,5.280108e-07,-4.7659283e-25,4058342.5
55,5.377888e-07,-4.688461e-25,4060020.0
56,5.475668e-07,-4.7548616e-25,4061655.0
57,5.573448e-07,-3.6703245e-25,4063295.0
58,5.671228e-07,-5.2860632e-25,4064986.8
59,5.769007e-07,-9.15941e-25,4066769.0
60,5.866787e-07,-9.314343e-25,4068658.0
61,5.964567e-07,-8.583941e-25,4070598.5
62,6.062347e-07,-6.0607325e-25,4072674.5
63,6.160126e-07,-6.149266e-25,4074925.0
64,6.257906e-07,-6.6583346e-25,4077275.8
65,6.355686e-07,-7.9863386e-25,4079762.8
66,6.453466e-07,-7.3666035e-25,4082530.0
67,6.551246e-07,-7.720738e-25,4085463.5
68,6.649025e-07,-8.340474e-25,4088575.8
69,6.746805e-07,-8.340474e-25,4092081.2
70,6.844585e-07,-9.181543e-25,4095962.8
71,6.942365e-07,-1.2103153e-24,4100116.2
72,7.040145e-07,-1.0642348e-24,4104887.2
73,7.137924e-07,-1.0996482e-24,4110328.8
74,7.235704e-07,-8.429007e-25,4116210.0
75,7.333484e-07,-7.3666035e-25,4123180.0
76,7.431264e-07,-8.340474e-25,4131097.2
77,7.529043e-07,-9.225809e-25,4139941.8
78,7.626823e-07,-9.048742e-25,4150918.0
79,7.724603e-07,-8.163406e-25,4162924.0
80,7.822383e-07,-7.720738e-25,4177467.0
81,7.920163e-07,-8.0748724e-25,4195063.0
82,8.017942e-07,-7.5436707e-25,4214905.5
83,8.115722e-07,-6.835402e-25,4242251.5
84,8.213502e-07,-4.5335274e-25,4273628.0
85,8.311282e-07,-6.380479e-26,4335577.5
86,8.409062e-07,1.8204754e-11,4372863.5
87,8.506841e-07,1.2273411e-10,4368257.0
88,8.604621e-07,3.423978e-10,4358578.0
89,8.702401e-07,7.2017076e-10,4341931.0
90,8.800181e-07,1.2713296e-09,4317644.5
91,8.89796e-07,1.9790827e-09,4286457.5
92,8.99574e-07,2.8606455e-09,4247611.5
93,9.09352e-07,3.9348973e-09,4200274.5
94,9.1913e-07,5.2046354e-09,4144323.5
95,9.28908e-07,6.7006556e-09,4078401.5
96,9.386859e-07,8.439563e-09,4001776.8
97,9.484639e-07,1.0439213e-08,3913662.2
98,9.582419e-07,1.27333335e-08,3812572.0
99,9.680199e-07,1.5345648e-08,3697460.5
100,9.777979e-07,1.8302183e-08,3567181.0
101,9.875758e-07,2.1646844e-08,3419798.8
102,9.973538e-07,2.5405612e-08,3254169.0
103,1.007132e-06,2.9541294e-08,3071930.2
104,1.01691e-06,3.396092e-08,2877179.8
105,1.026688e-06,3.859608e-08,2672931.8
