,t,loc_slip,loc_traction
0,0.0,0.0,3225689.8
1,9.777979e-09,-1.0977334e-25,3225689.8
2,1.955596e-08,2.823951e-26,3225689.8
3,2.933394e-08,2.3306747e-27,3225689.8
4,3.911191e-08,-2.1221204e-25,3225689.5
5,4.888989e-08,-2.6345723e-25,3225689.8
6,5.866787e-08,-3.1890281e-25,3225689.8
7,6.844585e-08,-2.3523798e-25,3225690.0
8,7.822383e-08,-1.7375564e-25,3225689.8
9,8.800181e-08,-2.1561077e-25,3225689.0
10,9.777979e-08,-3.3597465e-25,3225689.8
11,1.075578e-07,-2.9827075e-25,3225690.2
12,1.173357e-07,-1.6408238e-25,3225689.8
13,1.271137e-07,-3.5969816e-25,3225689.2
14,1.368917e-07,-2.5092608e-25,3225689.2
15,1.466697e-07,-2.2472776e-25,3225689.8
16,1.564477e-07,-7.146406e-26,3225690.8
17,1.662256e-07,-3.2111264e-26,3225689.5
18,1.760036e-07,3.595198e-27,3225688.8
19,1.857816e-07,-9.1073714e-26,3225689.8
20,1.955596e-07,-3.0017643e-28,3225690.2
21,2.053375e-07,-1.0000567e-25,3225690.2
22,2.151155e-07,-2.556677e-25,3225689.2
23,2.248935e-07,-2.6525458e-25,3225688.8
24,2.346715e-07,-3.5043935e-25,3225689.8
25,2.444495e-07,-4.4882034e-25,3225691.5
26,2.542274e-07,-4.579893e-25,3225690.0
27,2.640054e-07,-3.1989947e-25,3225688.5
28,2.737834e-07,-2.8042967e-25,3225689.8
29,2.835614e-07,-5.836576e-25,3225690.5
30,2.933394e-07,-5.840545e-25,3225691.2
31,3.031173e-07,-4.1189569e-25,3225689.8
32,3.128953e-07,-5.663133e-25,3225688.0
33,3.226733e-07,-4.8299177e-25,3225697.0
34,3.324513e-07,-4.945767e-25,3225720.0
35,3.422292e-07,-6.2630073e-25,3225756.0
36,3.520072e-07,-8.295909e-25,3225813.8
37,3.617852e-07,-8.859446e-25,3225898.8
38,3.715632e-07,-7.0650836e-25,3226013.5
39,3.813412e-07,-8.032037e-25,3226160.5
40,3.911191e-07,-8.297637e-25,3226337.2
41,4.008971e-07,-9.0273485e-25,3226551.8
42,4.106751e-07,-6.239923e-25,3226814.8
43,4.204531e-07,-6.509674e-25,3227123.8
44,4.302311e-07,-6.5829905e-25,3227476.0
45,4.40009e-07,-7.8072445e-25,3227881.5
46,4.49787e-07,-6.4266733e-25,3228344.2
47,4.59565e-07,-6.581607e-25,3228875.2
48,4.69343e-07,-5.5634706e-25,3229472.5
49,4.791209e-07,-3.5852974e-25,3230133.2
50,4.888989e-07,-4.8635015e-25,3230870.0
51,4.986769e-07,-7.9400452e-25,3231695.2
52,5.084549e-07,-6.650774e-25,3232615.0
53,5.182329e-07,-6.656307e-25,3233620.5
54,5.280108e-07,-6.46264e-25,3234716.8
55,5.377888e-07,-6.8499746e-25,3235810.8
56,5.475668e-07,-4.857968e-25,3236819.8
57,5.573448e-07,-4.5591674e-25,3237805.2
58,5.671228e-07,-6.163839e-25,3238774.8
59,5.769007e-07,-5.344903e-25,3239736.5
60,5.866787e-07,-5.687971e-25,3240740.0
61,5.964567e-07,-4.813701e-25,3241747.8
62,6.062347e-07,-4.769435e-25,3242758.8
63,6.160126e-07,-4.9907685e-25,3243787.0
64,6.257906e-07,-4.1275658e-25,3244857.2
65,6.355686e-07,-3.485697e-25,3245962.0
66,6.453466e-07,-5.9203715e-25,3247064.0
