,t,loc_slip,loc_traction
0,0.0,0.0,2843307.2
1,9.777979e-09,1.2794133e-25,2843307.2
2,1.955596e-08,2.8031406e-25,2843307.5
3,2.933394e-08,7.7870654e-26,2843307.2
4,3.911191e-08,6.062506e-26,2843307.0
5,4.888989e-08,2.7115679e-25,2843307.2
6,5.866787e-08,3.710491e-25,2843307.2
7,6.844585e-08,5.916803e-25,2843307.5
8,7.822383e-08,7.491913e-25,2843307.2
9,8.800181e-08,7.0529297e-25,2843306.8
10,9.777979e-08,6.3112e-25,2843307.2
11,1.075578e-07,6.9607913e-25,2843307.8
12,1.173357e-07,5.370266e-25,2843307.2
13,1.271137e-07,7.6622617e-25,2843307.0
14,1.368917e-07,7.7179104e-25,2843307.0
15,1.466697e-07,5.1536214e-25,2843307.2
16,1.564477e-07,3.811309e-25,2843308.2
17,1.662256e-07,3.8569394e-25,2843307.2
18,1.760036e-07,5.063476e-25,2843306.5
19,1.857816e-07,6.498132e-25,2843307.2
20,1.955596e-07,8.665461e-25,2843307.5
21,2.053375e-07,9.799878e-25,2843308.0
22,2.151155e-07,8.110344e-25,2843307.2
23,2.248935e-07,6.4586355e-25,2843306.2
24,2.346715e-07,4.826853e-25,2843307.2
25,2.444495e-07,5.293369e-25,2843308.5
26,2.542274e-07,4.6283805e-25,2843307.8
27,2.640054e-07,3.482755e-25,2843307.0
28,2.737834e-07,3.3845951e-25,2843306.2
29,2.835614e-07,3.8713684e-25,2843307.2
30,2.933394e-07,4.1102523e-25,2843309.2
31,3.031173e-07,3.289402e-25,2843307.5
32,3.128953e-07,1.3048363e-25,2843306.8
33,3.226733e-07,-6.422592e-26,2843312.8
34,3.324513e-07,-1.6132922e-25,2843332.0
35,3.422292e-07,7.3974396e-26,2843367.2
36,3.520072e-07,9.7715935e-26,2843417.8
37,3.617852e-07,4.7085767e-26,2843489.2
38,3.715632e-07,-1.980417e-25,2843589.0
39,3.813412e-07,-4.4683502e-25,2843716.2
40,3.911191e-07,-3.3734384e-25,2843873.2
41,4.008971e-07,-2.1146008e-25,2844060.0
42,4.106751e-07,-2.8961867e-25,2844280.5
43,4.204531e-07,-3.7337977e-25,2844545.0
44,4.302311e-07,-4.1985993e-25,2844850.8
45,4.40009e-07,-6.198906e-25,2845199.0
46,4.49787e-07,-4.828018e-25,2845592.8
47,4.59565e-07,-4.4296167e-25,2846036.0
48,4.69343e-07,-5.0825524e-25,2846537.2
49,4.791209e-07,-4.3217163e-25,2847100.0
50,4.888989e-07,-3.3063465e-25,2847721.2
51,4.986769e-07,-2.9522119e-25,2848404.2
52,5.084549e-07,-8.4953836e-26,2849158.2
53,5.182329e-07,-7.8867146e-26,2849988.8
54,5.280108e-07,8.602673e-26,2850898.2
55,5.377888e-07,2.69734e-25,2851788.5
56,5.475668e-07,9.709343e-26,2852577.8
57,5.573448e-07,2.4096057e-25,2853326.5
58,5.671228e-07,2.6420066e-25,2854078.2
59,5.769007e-07,1.6460033e-25,2854811.2
60,5.866787e-07,-4.0133687e-26,2855533.5
61,5.964567e-07,-1.662941e-25,2856246.0
62,6.062347e-07,-1.142806e-25,2856959.0
63,6.160126e-07,3.2906553e-26,2857683.2
64,6.257906e-07,6.610666e-26,2858401.0
65,6.355686e-07,2.4053192e-26,2859112.5
66,6.453466e-07,1.9448042e-25,2859815.8
67,6.551246e-07,2.5424063e-25,2860556.0
68,6.649025e-07,1.4136025e-25,2861309.2
69,6.746805e-07,-9.325386e-26,2862058.8
70,6.844585e-07,-1.8842751e-25,2862855.5
71,6.942365e-07,-1.286673e-25,2863732.2
72,7.040145e-07,-2.105609e-25,2864689.5
73,7.137924e-07,-1.2424063e-25,2865685.8
74,7.235704e-07,-3.5442806e-25,2866794.8
75,7.333484e-07,-2.0834758e-25,2868046.8
76,7.431264e-07,-5.3370863e-25,2869449.0
77,7.529043e-07,-5.8240215e-25,2870984.5
78,7.626823e-07,-7.7274946e-25,2872708.2
79,7.724603e-07,-8.325097e-25,2874733.5
80,7.822383e-07,-8.258696e-25,2877012.8
81,7.920163e-07,-9.232566e-25,2879519.8
82,8.017942e-07,-8.524297e-25,2882363.2
83,8.115722e-07,-7.904562e-25,2885623.2
84,8.213502e-07,-8.081629e-25,2889106.2
85,8.311282e-07,-6.2666893e-25,2892875.8
86,8.409062e-07,-9.808035e-25,2897232.5
87,8.506841e-07,-1.0781904e-24,2901896.8
88,8.604621e-07,-1.2154175e-24,2906937.5
89,8.702401e-07,-1.445605e-24,2912808.8
90,8.800181e-07,-1.348218e-24,2919175.2
91,8.89796e-07,-1.2331243e-24,2926126.0
92,8.99574e-07,-1.1357373e-24,2934506.2
93,9.09352e-07,-1.3659247e-24,2943691.0
94,9.1913e-07,-1.4810184e-24,2954404.2
95,9.28908e-07,-1.542992e-24,2968488.2
96,9.386859e-07,-1.445605e-24,2983871.0
97,9.484639e-07,-1.6226722e-24,3004948.5
98,9.582419e-07,-1.4987252e-24,3030126.2
99,9.680199e-07,-1.3747781e-24,3065649.0
100,9.777979e-07,2.82049e-11,3072785.5
101,9.875758e-07,1.5106046e-10,3068167.0
102,9.973538e-07,3.558909e-10,3060467.0
103,1.007132e-06,6.251517e-10,3050345.0
104,1.01691e-06,9.719416e-10,3037308.5
105,1.026688e-06,1.386729e-09,3021715.8
106,1.036466e-06,1.8812973e-09,3003123.8
107,1.046244e-06,2.4569253e-09,2981484.8
108,1.056022e-06,3.1170941e-09,2956667.5
109,1.0658e-06,3.8737262e-09,2928224.2
