event_id,M0_rec,M0_bestfit,Tw_bestfit,Tshift_bestfit
24, 0.064066801, 0.066480861,2.4675014e-06,1.4135829e-07
50,  0.30394451,  0.31272487,2.5658497e-06,3.5309721e-07
52,  0.45249109,  0.46422006,2.590732e-06,3.408833e-07
72,  0.80355587,  0.81888527,2.6125783e-06,2.7247348e-07
129,   1.1423483,   1.1455076,2.6331348e-06,2.1729486e-07
