,onset_npt,sensor,onset_t[ms],onset_d_ref[mm]
fb03-087__0129,265,OL23,      0.0165,       102.3
fb03-087__0088,261,OL23,      0.0161,       99.82
fb03-087__0031,267,OL23,      0.0167,      103.54
fb03-087__0020,262,OL23,      0.0162,      100.44
fb03-087__0027,265,OL23,      0.0165,       102.3
fb03-087__0095,262,OL23,      0.0162,      100.44
fb03-087__0072,265,OL23,      0.0165,       102.3
fb03-087__0061,265,OL23,      0.0165,       102.3
fb03-087__0131,258,OL23,      0.0158,       97.96
fb03-087__0018,261,OL23,      0.0161,       99.82
fb03-087__0099,266,OL23,      0.0166,      102.92
fb03-087__0120,263,OL23,      0.0163,      101.06
fb03-087__0077,260,OL23,       0.016,        99.2
fb03-087__0062,264,OL23,      0.0164,      101.68
fb03-087__0004,263,OL23,      0.0163,      101.06
fb03-087__0089,263,OL23,      0.0163,      101.06
fb03-087__0085,264,OL23,      0.0164,      101.68
fb03-087__0052,264,OL23,      0.0164,      101.68
fb03-087__0111,264,OL23,      0.0164,      101.68
fb03-087__0100,263,OL23,      0.0163,      101.06
fb03-087__0109,263,OL23,      0.0163,      101.06
fb03-087__0055,256,OL23,      0.0156,       96.72
fb03-087__0076,259,OL23,      0.0159,       98.58
fb03-087__0069,263,OL23,      0.0163,      101.06
fb03-087__0050,258,OL23,      0.0158,       97.96
fb03-087__0075,253,OL23,      0.0153,       94.86
fb03-087__0038,264,OL23,      0.0164,      101.68
fb03-087__0040,260,OL23,       0.016,        99.2
fb03-087__0043,262,OL23,      0.0162,      100.44
fb03-087__0102,256,OL23,      0.0156,       96.72
fb03-087__0118,259,OL23,      0.0159,       98.58
fb03-087__0059,261,OL23,      0.0161,       99.82
fb03-087__0044,265,OL23,      0.0165,       102.3
fb03-087__0030,255,OL23,      0.0155,        96.1
fb03-087__0024,261,OL23,      0.0161,       99.82
fb03-087__0110,244,OL23,      0.0144,       89.28
fb03-087__0019,259,OL23,      0.0159,       98.58
fb03-087__0009,259,OL23,      0.0159,       98.58
fb03-087__0081,260,OL23,       0.016,        99.2
fb03-087__0049,260,OL23,       0.016,        99.2
fb03-087__0037,244,OL23,      0.0144,       89.28
fb03-087__0126,256,OL23,      0.0156,       96.72
fb03-087__0021,257,OL23,      0.0157,       97.34
fb03-087__0128,260,OL23,       0.016,        99.2
