,onset_npt,sensor,onset_t[ms],onset_d_ref[mm]
fb03-087__0129,400,OL08,        0.03,         186
fb03-087__0088,397,OL08,      0.0297,      184.14
fb03-087__0031,401,OL08,      0.0301,      186.62
fb03-087__0020,397,OL08,      0.0297,      184.14
fb03-087__0027,399,OL08,      0.0299,      185.38
fb03-087__0095,396,OL08,      0.0296,      183.52
fb03-087__0072,399,OL08,      0.0299,      185.38
fb03-087__0061,400,OL08,        0.03,         186
fb03-087__0131,400,OL08,        0.03,         186
fb03-087__0018,396,OL08,      0.0296,      183.52
fb03-087__0099,401,OL08,      0.0301,      186.62
fb03-087__0120,397,OL08,      0.0297,      184.14
fb03-087__0077,395,OL08,      0.0295,       182.9
fb03-087__0062,399,OL08,      0.0299,      185.38
fb03-087__0004,397,OL08,      0.0297,      184.14
fb03-087__0089,398,OL08,      0.0298,      184.76
fb03-087__0085,405,OL08,      0.0305,       189.1
fb03-087__0052,399,OL08,      0.0299,      185.38
fb03-087__0111,398,OL08,      0.0298,      184.76
fb03-087__0100,397,OL08,      0.0297,      184.14
fb03-087__0109,397,OL08,      0.0297,      184.14
fb03-087__0055,389,OL08,      0.0289,      179.18
fb03-087__0076,400,OL08,        0.03,         186
fb03-087__0069,404,OL08,      0.0304,      188.48
fb03-087__0050,391,OL08,      0.0291,      180.42
fb03-087__0075,390,OL08,       0.029,       179.8
fb03-087__0038,404,OL08,      0.0304,      188.48
fb03-087__0040,401,OL08,      0.0301,      186.62
fb03-087__0043,395,OL08,      0.0295,       182.9
fb03-087__0102,395,OL08,      0.0295,       182.9
fb03-087__0118,400,OL08,        0.03,         186
fb03-087__0059,399,OL08,      0.0299,      185.38
fb03-087__0044,403,OL08,      0.0303,      187.86
fb03-087__0030,393,OL08,      0.0293,      181.66
fb03-087__0024,399,OL08,      0.0299,      185.38
fb03-087__0110,383,OL08,      0.0283,      175.46
fb03-087__0019,397,OL08,      0.0297,      184.14
fb03-087__0009,397,OL08,      0.0297,      184.14
fb03-087__0081,399,OL08,      0.0299,      185.38
fb03-087__0049,399,OL08,      0.0299,      185.38
fb03-087__0037,384,OL08,      0.0284,      176.08
fb03-087__0126,397,OL08,      0.0297,      184.14
fb03-087__0021,390,OL08,       0.029,       179.8
fb03-087__0128,394,OL08,      0.0294,      182.28
