,onset_npt,sensor,onset_t[ms],onset_d_ref[mm]
fb03-087__0033,460,OL26,       0.036,       223.2
fb03-087__0065,460,OL26,       0.036,       223.2
fb03-087__0029,458,OL26,      0.0358,      221.96
fb03-087__0080,462,OL26,      0.0362,      224.44
fb03-087__0090,457,OL26,      0.0357,      221.34
fb03-087__0115,458,OL26,      0.0358,      221.96
fb03-087__0114,459,OL26,      0.0359,      222.58
fb03-087__0036,457,OL26,      0.0357,      221.34
fb03-087__0093,458,OL26,      0.0358,      221.96
fb03-087__0106,464,OL26,      0.0364,      225.68
fb03-087__0107,462,OL26,      0.0362,      224.44
fb03-087__0108,462,OL26,      0.0362,      224.44
fb03-087__0103,462,OL26,      0.0362,      224.44
fb03-087__0023,465,OL26,      0.0365,       226.3
fb03-087__0042,467,OL26,      0.0367,      227.54
fb03-087__0017,464,OL26,      0.0364,      225.68
