,onset_npt,sensor,onset_t[ms],onset_d_ref[mm]
fb03-087__0033,393,OL12,      0.0293,      181.66
fb03-087__0065,405,OL12,      0.0305,       189.1
fb03-087__0029,403,OL12,      0.0303,      187.86
fb03-087__0080,398,OL12,      0.0298,      184.76
fb03-087__0090,403,OL12,      0.0303,      187.86
fb03-087__0115,401,OL12,      0.0301,      186.62
fb03-087__0114,404,OL12,      0.0304,      188.48
fb03-087__0036,402,OL12,      0.0302,      187.24
fb03-087__0093,404,OL12,      0.0304,      188.48
fb03-087__0106,399,OL12,      0.0299,      185.38
fb03-087__0107,401,OL12,      0.0301,      186.62
fb03-087__0108,398,OL12,      0.0298,      184.76
fb03-087__0103,400,OL12,        0.03,         186
fb03-087__0023,393,OL12,      0.0293,      181.66
fb03-087__0042,394,OL12,      0.0294,      182.28
fb03-087__0017,400,OL12,        0.03,         186
