,onset_npt,sensor,onset_t[ms],onset_d_ref[mm]
fb03-087__0033,253,OL27,      0.0153,       94.86
fb03-087__0065,260,OL27,       0.016,        99.2
fb03-087__0029,258,OL27,      0.0158,       97.96
fb03-087__0080,258,OL27,      0.0158,       97.96
fb03-087__0090,257,OL27,      0.0157,       97.34
fb03-087__0115,255,OL27,      0.0155,        96.1
fb03-087__0114,257,OL27,      0.0157,       97.34
fb03-087__0036,256,OL27,      0.0156,       96.72
fb03-087__0093,258,OL27,      0.0158,       97.96
fb03-087__0106,261,OL27,      0.0161,       99.82
fb03-087__0107,258,OL27,      0.0158,       97.96
fb03-087__0108,259,OL27,      0.0159,       98.58
fb03-087__0103,259,OL27,      0.0159,       98.58
fb03-087__0023,256,OL27,      0.0156,       96.72
fb03-087__0042,257,OL27,      0.0157,       97.34
fb03-087__0017,257,OL27,      0.0157,       97.34
